OID_,DEM_Large_S3_Regm1b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
137,-13,-2.967532171150472,19.760576407536480,-13.0061350,-0.1670419,10.4170084,0.3169758
138,-13,-2.960075531150472,19.760576407536480,-13.0058680,-0.1749961,10.3378544,0.3357627
139,-13,-2.952618891150472,19.760576407536480,-13.0055895,-0.2003845,10.2515106,0.3533752
140,-13,-2.945162251150472,19.760576407536480,-13.0052996,-0.2356978,10.1617222,0.3677276
141,-13,-2.937705611150472,19.760576407536480,-13.0049944,-0.2811842,10.0708771,0.3779064
142,-13,-2.930248971150472,19.760576407536480,-13.0046701,-0.3359601,9.9852209,0.3840570
143,-13,-2.922792331150472,19.760576407536480,-13.0043230,-0.3917818,9.9097548,0.3868140
144,-13,-2.915335691150472,19.760576407536480,-13.0039473,-0.4429573,9.8440399,0.3867211
145,-13,-2.907879051150472,19.760576407536480,-13.0035410,-0.4866487,9.7910070,0.3839634
146,-13,-2.900422411150472,19.760576407536480,-13.0030985,-0.5204342,9.7513618,0.3781955
147,-13,-2.892965771150472,19.760576407536480,-13.0026197,-0.5400488,9.7219238,0.3689536
148,-13,-2.885509131150472,19.760576407536480,-13.0021029,-0.5482482,9.6977139,0.3561323
149,-13,-2.878052491150472,19.760576407536480,-13.0015497,-0.5527865,9.6794977,0.3397611
150,-13,-2.870595851150472,19.760576407536480,-13.0009594,-0.5555913,9.6689129,0.3199958
151,-13,-2.863139211150472,19.760576407536480,-13.0003319,-0.5561718,9.6677465,0.2971724
152,-12,-2.855682571150472,19.760576407536480,-12.9996681,-0.5442100,9.6734695,0.2717951
153,-12,-2.848225931150472,19.760576407536480,-12.9989672,-0.5211020,9.6780586,0.2446159
154,-12,-2.840769291150472,19.760576407536480,-12.9982328,-0.4941441,9.6732616,0.2170235
155,-12,-2.833312651150472,19.760576407536480,-12.9974661,-0.4735342,9.6663532,0.1910906
156,-12,-2.825856011150472,19.760576407536480,-12.9966688,-0.4590067,9.6617336,0.1685853
157,-12,-2.818399371150472,19.760576407536480,-12.9958410,-0.4510371,9.6660242,0.1505023
158,-12,-2.810942731150472,19.760576407536480,-12.9949818,-0.4482147,9.6853361,0.1364916
159,-12,-2.803486091150472,19.760576407536480,-12.9940901,-0.4359675,9.7242203,0.1259037
160,-12,-2.796029451150472,19.760576407536480,-12.9931650,-0.4069086,9.7736254,0.1182709
161,-12,-2.788572811150472,19.760576407536480,-12.9922094,-0.3600628,9.8171854,0.1152808
162,-12,-2.781116171150472,19.760576407536480,-12.9912281,-0.3065903,9.8453779,0.1255494
163,-12,-2.773659531150472,19.760576407536480,-12.9902277,-0.2541340,9.8529148,0.1616432
164,-12,-2.766202891150472,19.760576407536480,-12.9892130,-0.2062856,9.8467321,0.2285789
165,-12,-2.758746251150472,19.760576407536480,-12.9881897,-0.1497950,9.8257999,0.3215569
166,-13,-3.057011851150472,19.753119767536482,-13.0086060,-0.5110429,9.9764662,0.3524675
167,-13,-3.049555211150472,19.753119767536482,-13.0087767,-0.5554966,10.0558043,0.3561698
168,-13,-3.042098571150472,19.753119767536482,-13.0088902,-0.5737105,10.1377583,0.3581860
169,-13,-3.034641931150472,19.753119767536482,-13.0089436,-0.5627199,10.2211504,0.3565300
170,-13,-3.027185291150472,19.753119767536482,-13.0089407,-0.5310643,10.3040419,0.3496840
171,-13,-3.019728651150472,19.753119767536482,-13.0088835,-0.4853331,10.3808174,0.3370642
172,-13,-3.012272011150471,19.753119767536482,-13.0087795,-0.4342198,10.4446621,0.3193272
173,-13,-3.004815371150471,19.753119767536482,-13.0086327,-0.3790760,10.4905891,0.2987241
174,-13,-2.997358731150472,19.753119767536482,-13.0084505,-0.3231954,10.5157232,0.2791929
175,-13,-2.989902091150472,19.753119767536482,-13.0082378,-0.2685965,10.5184221,0.2654365
176,-13,-2.982445451150472,19.753119767536482,-13.0080013,-0.2201366,10.4984722,0.2612989
177,-13,-2.974988811150472,19.753119767536482,-13.0077467,-0.1843361,10.4542789,0.2676802
178,-13,-2.967532171150472,19.753119767536482,-13.0074778,-0.1719579,10.3898554,0.2820318
179,-13,-2.960075531150472,19.753119767536482,-13.0071974,-0.1766900,10.3097563,0.2998720
180,-13,-2.952618891150472,19.753119767536482,-13.0069046,-0.1983818,10.2190771,0.3169626
181,-13,-2.945162251150472,19.753119767536482,-13.0065975,-0.2307315,10.1207542,0.3303670
182,-13,-2.937705611150472,19.753119767536482,-13.0062752,-0.2751682,10.0214577,0.3385714
183,-13,-2.930248971150472,19.753119767536482,-13.0059328,-0.3255304,9.9242735,0.3416254
184,-13,-2.922792331150472,19.753119767536482,-13.0055666,-0.3809642,9.8374672,0.3404390
185,-13,-2.915335691150472,19.753119767536482,-13.0051718,-0.4310426,9.7631369,0.3360667
186,-13,-2.907879051150472,19.753119767536482,-13.0047455,-0.4740741,9.7009163,0.3292921
187,-13,-2.900422411150472,19.753119767536482,-13.0042839,-0.5064668,9.6544971,0.3203063
188,-13,-2.892965771150472,19.753119767536482,-13.0037842,-0.5270125,9.6209173,0.3090757
189,-13,-2.885509131150472,19.753119767536482,-13.0032473,-0.5334905,9.5968914,0.2957945
190,-13,-2.878052491150472,19.753119767536482,-13.0026722,-0.5372431,9.5802898,0.2805116
191,-13,-2.870595851150472,19.753119767536482,-13.0020609,-0.5415961,9.5748596,0.2632081
192,-13,-2.863139211150472,19.753119767536482,-13.0014133,-0.5461251,9.5825424,0.2441316
193,-13,-2.855682571150472,19.753119767536482,-13.0007277,-0.5366458,9.6030493,0.2238955
194,-13,-2.848225931150472,19.753119767536482,-13.0000048,-0.5157790,9.6241789,0.2035501
195,-12,-2.840769291150472,19.753119767536482,-12.9992466,-0.4903843,9.6395216,0.1849923
196,-12,-2.833312651150472,19.753119767536482,-12.9984560,-0.4699509,9.6534796,0.1701869
197,-12,-2.825856011150472,19.753119767536482,-12.9976339,-0.4532478,9.6666470,0.1594996
198,-12,-2.818399371150472,19.753119767536482,-12.9967813,-0.4443227,9.6877222,0.1516849
199,-12,-2.810942731150472,19.753119767536482,-12.9958963,-0.4395923,9.7206383,0.1443252
200,-12,-2.803486091150472,19.753119767536482,-12.9949808,-0.4266567,9.7710438,0.1361959
201,-12,-2.796029451150472,19.753119767536482,-12.9940319,-0.3976476,9.8254528,0.1277642
202,-12,-2.788572811150472,19.753119767536482,-12.9930544,-0.3506064,9.8696041,0.1239209
203,-12,-2.781116171150472,19.753119767536482,-12.9920521,-0.2957407,9.8913403,0.1377480
204,-12,-2.773659531150472,19.753119767536482,-12.9910326,-0.2435597,9.8866186,0.1822627
205,-12,-2.766202891150472,19.753119767536482,-12.9900017,-0.1991069,9.8613005,0.2586216
206,-12,-2.758746251150472,19.753119767536482,-12.9889660,-0.1478787,9.8177853,0.3593713
207,-13,-3.064468491150472,19.745663127536481,-13.0096560,-0.4741186,9.8817072,0.3327433
208,-13,-3.057011851150472,19.745663127536481,-13.0098991,-0.5405555,9.9456129,0.3397890
209,-13,-3.049555211150472,19.745663127536481,-13.0100880,-0.5878726,10.0091009,0.3485786
210,-13,-3.042098571150472,19.745663127536481,-13.0102158,-0.6060831,10.0763416,0.3562669
211,-13,-3.034641931150472,19.745663127536481,-13.0102835,-0.5966874,10.1525021,0.3602368
212,-13,-3.027185291150472,19.745663127536481,-13.0102911,-0.5663591,10.2320814,0.3583767
213,-13,-3.019728651150472,19.745663127536481,-13.0102425,-0.5221651,10.3108053,0.3494940
214,-13,-3.012272011150471,19.745663127536481,-13.0101442,-0.4695061,10.3785486,0.3336014
215,-13,-3.004815371150471,19.745663127536481,-13.0100002,-0.4147490,10.4326830,0.3122960
