OID_,DEM_Large_S3_Regm2b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1810,-13,-4.190421131150472,20.319824407536480,-13.3020239,-3.5987029,11.0767164,7.1680689
1811,-13,-4.182964491150472,20.319824407536480,-13.3008022,-3.4880271,12.7663803,7.4902687
1812,-13,-4.175507851150472,20.319824407536480,-13.2994394,-3.3719766,14.3968086,7.7183313
1813,-13,-4.168051211150472,20.319824407536480,-13.2979441,-3.2483320,15.9601879,7.8500743
1814,-13,-4.160594571150471,20.319824407536480,-13.2963228,-3.1155851,17.4453945,7.8900757
1815,-13,-4.153137931150471,20.319824407536480,-13.2945852,-2.9812794,18.8371658,7.8486032
1816,-13,-4.145681291150471,20.319824407536480,-13.2927418,-2.8655505,20.1356068,7.7402229
1817,-13,-4.138224651150471,20.319824407536480,-13.2908030,-2.7852774,21.3534470,7.5819302
1818,-13,-4.130768011150471,20.319824407536480,-13.2887735,-2.7475793,22.5120506,7.3897080
1819,-13,-4.123311371150471,20.319824407536480,-13.2866526,-2.7450500,23.6325893,7.1748667
1820,-13,-4.115854731150471,20.319824407536480,-13.2844343,-2.7694964,24.7245388,6.9433498
1821,-13,-4.108398091150471,20.319824407536480,-13.2821112,-2.8054721,25.7923279,6.6967411
1822,-13,-4.100941451150471,20.319824407536480,-13.2796726,-2.8411682,26.8310108,6.4342456
1823,-13,-4.093484811150471,20.319824407536480,-13.2771101,-2.8768413,27.8279686,6.1546988
1824,-13,-4.086028171150472,20.319824407536480,-13.2744141,-2.9229381,28.7805557,5.8576880
1825,-13,-4.078571531150471,20.319824407536480,-13.2715759,-2.9837041,29.6890945,5.5448852
1826,-13,-4.071114891150472,20.319824407536480,-13.2685862,-3.0637965,30.5566654,5.2197428
1827,-13,-4.063658251150472,20.319824407536480,-13.2654314,-3.1556520,31.3951225,4.8867321
1828,-13,-4.056201611150472,20.319824407536480,-13.2620983,-3.2479029,32.2035294,4.5508676
