OID_,ClipsFinal_DEM_Large_S3_RegD,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
51,-13,-5.353656971150472,20.670286487536480,-13.1398363,0.0044628,45.4545441,-0.3340499,-0.2964240,4.0000000,-0.9442210,1.0796670,22.1527328,0.3513730,1.5625520
52,-13,-5.346200331150472,20.670286487536480,-13.1398497,0.0045455,45.4545441,-0.3567699,-0.2710290,5.0000000,-0.9208658,1.0794110,22.1174164,0.3788079,1.5301620
53,-13,-5.338743691150472,20.670286487536480,-13.1397982,0.0044628,45.4545441,-0.3781252,-0.2443025,4.0000000,-0.8935053,1.0791762,22.0866241,0.4049004,1.4965103
54,-13,-5.331287051150472,20.670286487536480,-13.1396828,0.0043802,45.4545441,-0.3987596,-0.2167662,4.0000000,-0.8640919,1.0789694,22.0604839,0.4305595,1.4665031
55,-13,-5.323830411150472,20.670286487536480,-13.1395073,0.0042149,45.4545441,-0.4176106,-0.1888510,4.0000000,-0.8329701,1.0788041,22.0390091,0.4552681,1.4391407
56,-13,-5.316373771150472,20.670286487536480,-13.1392717,0.0040496,45.4545441,-0.4365474,-0.1595760,4.0000000,-0.8009680,1.0786917,22.0234470,0.4818160,1.4180363
57,-13,-5.502789771150471,20.662829847536479,-13.1276484,0.0024793,42.1487617,-0.4829011,-0.3497978,4.0000000,-0.0948220,1.0832927,22.6238461,-0.6047735,1.9322157
58,-13,-5.495333131150471,20.662829847536479,-13.1290588,0.0038843,46.2809906,-0.4284865,-0.3791420,4.0000000,-0.1990321,1.0837778,22.6852131,-0.5592520,1.9214525
59,-13,-5.487876491150471,20.662829847536479,-13.1304140,-0.0047107,18.1818180,-0.3757320,-0.4048343,4.0000000,-0.2979981,1.0841316,22.7291451,-0.5116705,1.9117022
60,-13,-5.480419851150471,20.662829847536479,-13.1317091,-0.0034711,22.3140488,-0.3284387,-0.4276150,4.0000000,-0.3940423,1.0843692,22.7595921,-0.4611876,1.9137723
61,-13,-5.472963211150471,20.662829847536479,-13.1329422,-0.0022314,26.4462814,-0.2843585,-0.4480453,4.0000000,-0.4866181,1.0844910,22.7747765,-0.4094725,1.9208753
62,-13,-5.465506571150471,20.662829847536479,-13.1341085,-0.0010744,30.5785122,-0.2447514,-0.4664410,4.0000000,-0.5750271,1.0845113,22.7770119,-0.3578550,1.9356205
63,-13,-5.458049931150471,20.662829847536479,-13.1352081,0.0000000,33.8842964,-0.2092526,-0.4802572,4.0000000,-0.6549864,1.0844488,22.7686481,-0.3055279,1.9404196
64,-13,-5.450593291150471,20.662829847536479,-13.1362371,0.0009917,37.1900826,-0.1811049,-0.4903140,4.0000000,-0.7276084,1.0843029,22.7506161,-0.2530195,1.9458636
65,-13,-5.443136651150471,20.662829847536479,-13.1371937,0.0019835,40.4958687,-0.1583368,-0.4972565,4.0000000,-0.7932227,1.0841014,22.7247486,-0.2012902,1.9481001
66,-13,-5.435680011150471,20.662829847536479,-13.1380768,0.0028099,42.9752083,-0.1419671,-0.5001692,4.0000000,-0.8492551,1.0838506,22.6926365,-0.1510833,1.9425141
67,-13,-5.428223371150471,20.662829847536479,-13.1388855,0.0035537,45.4545441,-0.1328300,-0.4989388,4.0000000,-0.8966331,1.0835699,22.6568737,-0.1012445,1.9303623
68,-13,-5.420766731150471,20.662829847536479,-13.1396198,0.0043802,47.9338837,-0.1295739,-0.4951520,4.0000000,-0.9378574,1.0832645,22.6173058,-0.0524466,1.9172963
69,-13,-5.413310091150471,20.662829847536479,-13.1402779,-0.0049587,20.6611576,-0.1324614,-0.4880860,4.0000000,-0.9706504,1.0829294,22.5746651,-0.0055217,1.8991939
70,-13,-5.405853451150471,20.662829847536479,-13.1408615,-0.0044628,22.3140488,-0.1388499,-0.4780421,4.0000000,-0.9937763,1.0825845,22.5305862,0.0376921,1.8704877
71,-13,-5.398396811150471,20.662829847536479,-13.1413689,-0.0040496,23.9669418,-0.1500853,-0.4644649,4.0000000,-1.0079974,1.0822469,22.4869156,0.0790676,1.8334472
