OID_,ClipsFinal_DEM_Large_S3_RegO,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
87,-13,-4.220247691150471,20.565893527536478,-13.1433287,-0.0036364,42.9752083,1.9031630,-1.6471736,4.0000000,-0.7474081,1.7941422,56.2353821,-2.5469394,39.9630318
88,-13,-4.212791051150471,20.565893527536478,-13.1402082,-0.0067769,39.6694221,2.0023928,-1.7597988,4.0000000,-0.8036345,1.7991831,56.3508224,-2.7159631,50.1620598
89,-13,-4.205334411150471,20.565893527536478,-13.1367407,-0.0002479,45.4545441,1.4962510,-1.7767080,4.0000000,-0.7289438,1.8012613,56.3957634,-2.8244724,56.5259132
90,-13,-4.197877771150471,20.565893527536478,-13.1329126,-0.0037190,41.3223152,0.3047008,-1.6134002,4.0000000,-0.4157269,1.7973818,56.3348770,-2.8110735,49.9701576
91,-13,-4.190421131150471,20.565893527536478,-13.1288366,0.0028926,46.2809906,-0.9735287,-1.3641833,4.0000000,-0.0229421,1.7865428,56.1072922,-2.7054245,44.9745598
92,-13,-4.182964491150471,20.565893527536478,-13.1245508,-0.0008264,42.1487617,-2.1083403,-1.0950406,4.0000000,0.3444673,1.7679226,55.6842155,-2.5345485,48.3676453
93,-13,-4.175507851150471,20.565893527536478,-13.1201878,-0.0048760,38.0165291,-3.1715989,-0.8946242,4.0000000,0.6254994,1.7424805,55.1046638,-2.4147477,59.9967651
94,-13,-4.168051211150471,20.565893527536478,-13.1157894,0.0013223,45.4545441,-3.9195528,-0.5013808,4.0000000,1.0718484,1.7129676,54.4246140,-2.0746100,71.9552765
95,-13,-4.451403531150471,20.558436887536477,-13.1538877,-0.0008264,42.1487617,-5.3616190,0.7820022,4.0000000,0.3556131,1.7185441,54.5239906,1.2083913,109.7418060
96,-13,-4.443946891150471,20.558436887536477,-13.1577034,0.0024793,46.2809906,-4.3909397,0.6866826,4.0000000,-0.0453843,1.7363735,54.9928970,1.4187495,86.0651321
97,-13,-4.436490251150471,20.558436887536477,-13.1612577,-0.0044628,40.4958687,-3.2864423,0.5548218,4.0000000,-0.4418650,1.7493639,55.3482437,1.5515087,62.9936066
98,-13,-4.429033611150471,20.558436887536477,-13.1646519,-0.0016529,43.8016510,-2.6051395,0.3199716,4.0000000,-0.8830268,1.7532600,55.4161491,1.5229700,54.7974548
99,-13,-4.421576971150471,20.558436887536477,-13.1676960,0.0008264,46.2809906,-1.9465754,0.0390437,4.0000000,-1.2209475,1.7429857,55.1650543,1.2990348,54.8586388
100,-13,-4.414120331150471,20.558436887536477,-13.1703215,-0.0066116,39.6694221,-1.1117865,-0.2043969,4.0000000,-1.2782276,1.7260448,54.7685776,0.8694338,46.6100159
101,-13,-4.406663691150471,20.558436887536477,-13.1725826,-0.0044628,41.3223152,-0.6229816,-0.4148360,4.0000000,-1.1660856,1.7060082,54.2864265,0.3364135,38.6754227
102,-13,-4.399207051150471,20.558436887536477,-13.1745195,-0.0023967,42.9752083,-0.4837472,-0.7088960,4.0000000,-1.2661008,1.6811901,53.6715660,-0.1516912,48.1234169
103,-13,-4.391750411150471,20.558436887536477,-13.1762629,-0.0009091,43.8016510,-0.0947481,-1.1112505,4.0000000,-1.5894713,1.6506257,52.8597031,-0.6330298,69.8219452
104,-13,-4.384293771150471,20.558436887536477,-13.1775761,0.0003306,44.6280975,0.8449060,-1.5099142,4.0000000,-1.8267865,1.6182029,51.9425583,-1.1930419,83.0393066
105,-13,-4.376837131150471,20.558436887536477,-13.1784935,0.0014876,45.4545441,1.4409660,-1.6672134,4.0000000,-1.6472508,1.5903139,51.1263351,-1.6871761,68.8796387
106,-13,-4.369380491150471,20.558436887536477,-13.1790762,0.0019008,45.4545441,2.3397346,-1.8270102,4.0000000,-1.6044997,1.5693984,50.4553490,-2.0495205,60.5603561
107,-13,-4.361923851150471,20.558436887536477,-13.1793585,0.0020661,45.4545441,3.1809824,-1.9598655,5.0000000,-1.6073425,1.5550599,49.9645500,-2.3123884,55.6476746
108,-13,-4.354467211150471,20.558436887536477,-13.1792326,0.0020661,45.4545441,3.0372138,-1.8801302,4.0000000,-1.3445460,1.5457512,49.6507225,-2.4157145,40.8643188
109,-13,-4.347010571150471,20.558436887536477,-13.1787910,0.0019835,45.4545441,1.8753161,-1.5630214,4.0000000,-0.8227202,1.5401669,49.4792213,-2.3033226,21.7861004
110,-13,-4.339553931150471,20.558436887536477,-13.1782131,0.0018182,45.4545441,1.2559996,-1.3540540,4.0000000,-0.6023383,1.5383632,49.4133072,-2.1057696,15.3984432
111,-13,-4.332097291150471,20.558436887536477,-13.1775293,0.0012397,45.4545441,1.1169249,-1.2542958,4.0000000,-0.6731972,1.5404371,49.4628563,-1.8353944,15.3168888
112,-13,-4.324640651150471,20.558436887536477,-13.1767244,0.0004132,44.6280975,1.0858258,-1.2199081,4.0000000,-0.8565944,1.5467277,49.6658936,-1.5832219,19.0446911
