OID_,ClipsFinal_DEM_Large_S3_RegI,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
82,-12,-5.465506571150471,22.497163287536477,-12.7976866,0.0025620,43.8016510,-1.0751256,-0.1560272,4.0000000,-0.9463282,1.1134530,26.1328850,0.6342738,3.6714940
83,-12,-5.458049931150471,22.497163287536477,-12.7985458,0.0034711,46.2809906,-1.3969617,-0.1181309,4.0000000,-1.0137824,1.1088830,25.6326523,0.7775205,4.4998603
84,-12,-5.450593291150471,22.497163287536477,-12.7993374,0.0042149,47.9338837,-1.4790336,0.0256595,4.0000000,-0.8022851,1.1036853,25.0462723,0.8536042,4.4096603
85,-12,-5.592269451150471,22.489706647536480,-12.7769022,0.0016529,41.3223152,-0.4331393,-0.0183712,4.0000000,0.2818522,1.1371187,28.4637451,-0.3185945,1.4530808
86,-12,-5.584812811150471,22.489706647536480,-12.7788496,0.0033884,45.4545441,-0.6619016,-0.2423253,4.0000000,-0.0234161,1.1385424,28.5516968,-0.4612346,2.5369277
87,-12,-5.577356171150471,22.489706647536480,-12.7807608,-0.0047107,23.9669418,-0.8189994,-0.4319880,4.0000000,-0.2478812,1.1399391,28.6774120,-0.6160948,3.9081256
88,-12,-5.569899531150471,22.489706647536480,-12.7826071,-0.0029752,28.9256191,-0.7561551,-0.4807578,4.0000000,-0.3649836,1.1400461,28.6918545,-0.5965320,4.0441623
89,-12,-5.562442891150471,22.489706647536480,-12.7843256,-0.0010744,33.8842964,-0.5836906,-0.4373657,4.0000000,-0.3608103,1.1400045,28.7102566,-0.5139212,3.2289534
90,-12,-5.554986251150471,22.489706647536480,-12.7859774,0.0005785,38.0165291,-0.3722533,-0.3174803,4.0000000,-0.2522348,1.1401608,28.7640419,-0.3827258,1.9185872
91,-12,-5.547529611150471,22.489706647536480,-12.7875366,0.0021488,42.1487617,-0.1697210,-0.1638195,4.0000000,-0.1279313,1.1407481,28.8012047,-0.1997077,0.7503923
92,-12,-5.540072971150471,22.489706647536480,-12.7890835,0.0037190,46.2809906,-0.0376405,-0.0290563,4.0000000,-0.0499209,1.1421824,28.9194813,-0.0081916,0.1352722
93,-12,-5.532616331150471,22.489706647536480,-12.7906399,-0.0047934,26.4462814,-0.0196406,-0.1098777,4.0000000,-0.2704468,1.1422414,28.9741898,0.0506914,0.1867635
94,-12,-5.525159691150471,22.489706647536480,-12.7921724,-0.0033058,29.7520657,0.0439667,-0.5019035,4.0000000,-0.9144248,1.1408818,28.8727188,-0.0893822,1.9931670
