OID_,ClipsFinal_DEM_Large_S3_RegA,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
56,-13,-4.883888651150471,17.590694167536480,-13.0661144,0.0000000,0.0000000,0.4817088,-1.1351359,4.0000000,-1.0190680,1.0020891,3.7921839,-1.2512038,4.2253146
57,-13,-4.876432011150472,17.590694167536480,-13.0656328,0.0000000,0.0000000,0.0924985,-0.5588892,4.0000000,-0.6603823,1.0027467,4.3002386,-0.4573961,1.0778068
58,-13,-4.980824971150471,17.583237527536479,-13.0608082,-0.0028926,0.0000000,0.3013949,1.2024263,4.0000000,2.2671463,1.0036304,4.8328128,0.1377063,5.2919912
59,-13,-4.973368331150471,17.583237527536479,-13.0614271,-0.0019835,0.0000000,1.0790126,1.2751789,4.0000000,2.0131238,1.0038644,4.9680314,0.5372341,4.4411211
60,-13,-4.965911691150471,17.583237527536479,-13.0621061,-0.0011570,0.0000000,1.3270698,1.2333720,4.0000000,1.6739632,1.0045458,5.4655094,0.7927809,3.5141084
61,-13,-4.958455051150471,17.583237527536479,-13.0628414,-0.0004132,0.0000000,0.5855185,0.8674996,4.0000000,1.2756052,1.0050592,5.8239217,0.4593940,1.8927166
62,-13,-4.950998411150471,17.583237527536479,-13.0635967,0.0000000,0.0000000,-0.0933056,0.3621312,4.0000000,0.8236252,1.0052131,5.9189067,-0.0993628,0.7338784
63,-13,-4.943541771150471,17.583237527536479,-13.0643520,0.0000000,0.0000000,-0.2849042,-0.1140023,4.0000000,0.3659880,1.0049547,5.7524734,-0.5939926,0.6322490
64,-13,-4.936085131150471,17.583237527536479,-13.0650682,0.0000000,0.0000000,-0.1336616,-0.6581169,4.0000000,-0.0756487,1.0042572,5.3507609,-1.2405853,2.0214663
65,-13,-4.928628491150471,17.583237527536479,-13.0657120,0.0000000,0.0000000,0.3692971,-1.1501626,4.0000000,-0.4781771,1.0031043,4.5452609,-1.8221481,4.5909777
66,-13,-4.921171851150471,17.583237527536479,-13.0662212,0.0000000,0.0000000,1.0315609,-1.5406687,4.0000000,-0.8087865,1.0018172,3.4350927,-2.2725508,7.4688663
