OID_,ClipsFinal_DEM_Large_S3_RegM,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
70,-12,-3.474583691150472,21.438320407536480,-12.8342648,-0.0006612,31.4049587,-0.0115726,0.0326121,4.0000000,-0.0327889,1.0712011,21.0179310,0.0980130,0.0346678
71,-12,-3.586433291150472,21.430863767536479,-12.8468838,0.0013223,38.0165291,-0.1586670,-0.3784553,4.0000000,-0.5271969,1.0530760,18.2696514,-0.2297136,1.1257478
72,-12,-3.578976651150472,21.430863767536479,-12.8463869,0.0009917,36.3636360,-0.1422186,-0.3762442,4.0000000,-0.5522634,1.0546671,18.5299892,-0.2002250,1.0899347
73,-12,-3.571520011150472,21.430863767536479,-12.8458672,0.0005785,34.7107430,-0.1249460,-0.3717121,4.0000000,-0.5716671,1.0562502,18.7878494,-0.1717573,1.0423564
74,-12,-3.564063371150472,21.430863767536479,-12.8453236,0.0000826,33.0578499,-0.1081042,-0.3646317,4.0000000,-0.5825933,1.0578318,19.0388222,-0.1466700,0.9845509
75,-12,-3.556606731150472,21.430863767536479,-12.8447542,-0.0004959,30.5785122,-0.0932334,-0.3531321,4.0000000,-0.5825288,1.0594026,19.2830944,-0.1237355,0.9135296
76,-12,-3.549150091150472,21.430863767536479,-12.8441582,-0.0009917,28.9256191,-0.0788151,-0.3392178,4.0000000,-0.5742786,1.0609254,19.5169220,-0.1041571,0.8338850
77,-12,-3.541693451150472,21.430863767536479,-12.8435364,-0.0014876,27.2727280,-0.0671975,-0.3209121,4.0000000,-0.5571067,1.0623854,19.7404308,-0.0847175,0.7459770
78,-12,-3.534236811150472,21.430863767536479,-12.8428898,-0.0020661,25.6198349,-0.0578684,-0.2986058,4.0000000,-0.5298738,1.0637840,19.9493771,-0.0673379,0.6517755
79,-12,-3.526780171150472,21.430863767536479,-12.8422174,-0.0027273,23.1404953,-0.0503650,-0.2729038,4.0000000,-0.4945756,1.0651045,20.1448765,-0.0512320,0.5551134
80,-12,-3.519323531150472,21.430863767536479,-12.8415222,-0.0034711,20.6611576,-0.0442543,-0.2428380,4.0000000,-0.4493082,1.0663298,20.3245029,-0.0363677,0.4551154
81,-12,-3.511866891150472,21.430863767536479,-12.8408060,-0.0041322,19.0082645,-0.0395733,-0.2085987,4.0000000,-0.3952686,1.0674473,20.4867859,-0.0219288,0.3570713
82,-12,-3.504410251150472,21.430863767536479,-12.8400717,-0.0048760,16.5289249,-0.0354138,-0.1714598,4.0000000,-0.3343521,1.0684440,20.6283131,-0.0085675,0.2662437
83,-12,-3.496953611150472,21.430863767536479,-12.8393230,0.0042975,47.9338837,-0.0313676,-0.1346230,4.0000000,-0.2728304,1.0693079,20.7511158,0.0035845,0.1908132
84,-12,-3.489496971150472,21.430863767536479,-12.8385620,0.0035537,45.4545441,-0.0268848,-0.0960953,4.0000000,-0.2061200,1.0700306,20.8550167,0.0139293,0.1270000
85,-12,-3.482040331150472,21.430863767536479,-12.8377943,0.0028099,42.9752083,-0.0221086,-0.0575907,4.0000000,-0.1386316,1.0706269,20.9383488,0.0234503,0.0791536
86,-12,-3.474583691150472,21.430863767536479,-12.8370218,0.0020661,40.4958687,-0.0165179,-0.0215914,4.0000000,-0.0732980,1.0710908,21.0015621,0.0301151,0.0468346
87,-12,-3.593889931150472,21.423407127536478,-12.8497238,0.0043802,48.7603302,-0.1915238,-0.4050962,4.0000000,-0.5053752,1.0500114,17.7562733,-0.3048171,1.2848994
88,-12,-3.586433291150472,21.423407127536478,-12.8492832,0.0038017,47.1074371,-0.1727354,-0.4060203,4.0000000,-0.5381187,1.0516356,18.0317459,-0.2739218,1.2578830
89,-12,-3.578976651150472,21.423407127536478,-12.8488216,0.0033884,45.4545441,-0.1505439,-0.4065614,4.0000000,-0.5668630,1.0532823,18.3042736,-0.2462599,1.2202954
90,-12,-3.571520011150472,21.423407127536478,-12.8483353,0.0029752,43.8016510,-0.1260984,-0.4075987,4.0000000,-0.5929633,1.0549288,18.5732250,-0.2222340,1.1784084
91,-12,-3.564063371150472,21.423407127536478,-12.8478241,0.0024793,42.1487617,-0.1051640,-0.4036202,4.0000000,-0.6079271,1.0565597,18.8368664,-0.1993133,1.1227156
92,-12,-3.556606731150472,21.423407127536478,-12.8472862,0.0019008,39.6694221,-0.0866129,-0.3944875,4.0000000,-0.6118889,1.0581746,19.0928822,-0.1770862,1.0498499
93,-12,-3.549150091150472,21.423407127536478,-12.8467207,0.0014050,38.0165291,-0.0691343,-0.3829488,4.0000000,-0.6069719,1.0597599,19.3384266,-0.1589258,0.9681673
94,-12,-3.541693451150472,21.423407127536478,-12.8461275,0.0009091,36.3636360,-0.0537428,-0.3683392,4.0000000,-0.5937545,1.0612880,19.5727253,-0.1429239,0.8785926
95,-12,-3.534236811150472,21.423407127536478,-12.8455057,0.0003306,34.7107430,-0.0430363,-0.3473413,4.0000000,-0.5673813,1.0627493,19.7955093,-0.1273012,0.7763822
96,-12,-3.526780171150472,21.423407127536478,-12.8448582,-0.0003306,32.2314034,-0.0355671,-0.3231120,4.0000000,-0.5340242,1.0641428,20.0027142,-0.1121997,0.6734310
97,-12,-3.519323531150472,21.423407127536478,-12.8441858,-0.0009917,29.7520657,-0.0297964,-0.2949723,4.0000000,-0.4905299,1.0654542,20.1955338,-0.0994147,0.5658447
98,-12,-3.511866891150472,21.423407127536478,-12.8434896,-0.0015702,28.0991745,-0.0260390,-0.2630762,4.0000000,-0.4388582,1.0666548,20.3711033,-0.0872942,0.4590567
99,-12,-3.504410251150472,21.423407127536478,-12.8427744,-0.0022314,25.6198349,-0.0251532,-0.2256923,4.0000000,-0.3779221,1.0677344,20.5281067,-0.0734624,0.3554615
100,-12,-3.496953611150472,21.423407127536478,-12.8420410,-0.0029752,23.1404953,-0.0231659,-0.1889381,4.0000000,-0.3155338,1.0686949,20.6646538,-0.0623423,0.2646028
101,-12,-3.489496971150472,21.423407127536478,-12.8412943,-0.0037190,20.6611576,-0.0218954,-0.1506618,4.0000000,-0.2492254,1.0695208,20.7813740,-0.0520982,0.1874030
102,-12,-3.482040331150472,21.423407127536478,-12.8405380,-0.0044628,18.1818180,-0.0199340,-0.1126986,4.0000000,-0.1817173,1.0702006,20.8779221,-0.0436800,0.1249588
103,-12,-3.474583691150472,21.423407127536478,-12.8397760,0.0047934,49.5867767,-0.0172354,-0.0766619,4.0000000,-0.1153922,1.0707388,20.9537983,-0.0379316,0.0785553
104,-12,-3.467127051150472,21.423407127536478,-12.8390112,0.0039669,47.1074371,-0.0147645,-0.0425184,4.0000000,-0.0499924,1.0711406,21.0094509,-0.0350444,0.0486815
105,-12,-3.593889931150472,21.415950487536477,-12.8520565,-0.0029752,17.3553715,-0.2085811,-0.4265909,4.0000000,-0.5065678,1.0484768,17.4904423,-0.3466139,1.4014580
106,-12,-3.586433291150472,21.415950487536477,-12.8516531,-0.0034711,15.7024794,-0.1818042,-0.4336809,4.0000000,-0.5463437,1.0501274,17.7760448,-0.3210181,1.3827506
107,-12,-3.578976651150472,21.415950487536477,-12.8512278,-0.0038843,14.8760328,-0.1541782,-0.4379026,4.0000000,-0.5795317,1.0517979,18.0592194,-0.2962736,1.3495904
108,-12,-3.571520011150472,21.415950487536477,-12.8507776,-0.0042975,14.0495872,-0.1246224,-0.4421111,4.0000000,-0.6102259,1.0534871,18.3386517,-0.2739964,1.3113564
109,-12,-3.564063371150472,21.415950487536477,-12.8503008,-0.0047934,13.2231407,-0.0984356,-0.4414778,4.0000000,-0.6298972,1.0551668,18.6121616,-0.2530584,1.2582403
110,-12,-3.556606731150472,21.415950487536477,-12.8497953,0.0045455,48.7603302,-0.0751878,-0.4362662,4.0000000,-0.6396595,1.0568211,18.8782673,-0.2328728,1.1899691
111,-12,-3.549150091150472,21.415950487536477,-12.8492613,0.0039669,47.1074371,-0.0562930,-0.4255071,4.0000000,-0.6379004,1.0584470,19.1352596,-0.2131138,1.1057917
112,-12,-3.541693451150472,21.415950487536477,-12.8486967,0.0034711,45.4545441,-0.0399782,-0.4114766,4.0000000,-0.6269009,1.0600319,19.3809891,-0.1960524,1.0122869
113,-12,-3.534236811150472,21.415950487536477,-12.8481035,0.0028926,43.8016510,-0.0266424,-0.3932447,4.0000000,-0.6043023,1.0615578,19.6139851,-0.1821870,0.9074752
114,-12,-3.526780171150472,21.415950487536477,-12.8474817,0.0022314,41.3223152,-0.0191914,-0.3694012,4.0000000,-0.5718313,1.0630054,19.8326054,-0.1669711,0.7963068
115,-12,-3.519323531150472,21.415950487536477,-12.8468332,0.0015702,38.8429756,-0.0140376,-0.3422760,4.0000000,-0.5300230,1.0643750,20.0367355,-0.1545289,0.6819605
116,-12,-3.511866891150472,21.415950487536477,-12.8461590,0.0009917,37.1900826,-0.0111082,-0.3116536,4.0000000,-0.4794658,1.0656508,20.2243710,-0.1438414,0.5668455
117,-12,-3.504410251150472,21.415950487536477,-12.8454628,0.0003306,34.7107430,-0.0106211,-0.2779576,4.0000000,-0.4211965,1.0668094,20.3943176,-0.1347188,0.4568138
118,-12,-3.496953611150472,21.415950487536477,-12.8447475,-0.0004132,32.2314034,-0.0109715,-0.2415118,4.0000000,-0.3574388,1.0678537,20.5446606,-0.1255849,0.3528077
119,-12,-3.489496971150472,21.415950487536477,-12.8440170,-0.0011570,29.7520657,-0.0123276,-0.2046051,4.0000000,-0.2913493,1.0687722,20.6750488,-0.1178609,0.2642364
120,-12,-3.482040331150472,21.415950487536477,-12.8432741,-0.0019008,27.2727280,-0.0132156,-0.1678106,4.0000000,-0.2240775,1.0695432,20.7850895,-0.1115437,0.1894499
121,-12,-3.474583691150472,21.415950487536477,-12.8425226,-0.0025620,24.7933884,-0.0129362,-0.1338131,4.0000000,-0.1591058,1.0701648,20.8734398,-0.1085204,0.1307804
122,-12,-3.467127051150472,21.415950487536477,-12.8417673,-0.0033058,22.3140488,-0.0136483,-0.0996135,4.0000000,-0.0928477,1.0706435,20.9411201,-0.1063794,0.0878046
123,-12,-3.459670411150472,21.415950487536477,-12.8410101,-0.0040496,19.8347111,-0.0144849,-0.0674787,4.0000000,-0.0281190,1.0709720,20.9862785,-0.1068383,0.0603164
124,-12,-3.601346571150472,21.408493847536480,-12.8547010,-0.0003306,28.0991745,-0.2547915,-0.4323376,4.0000000,-0.4548290,1.0452384,16.9176273,-0.4098462,1.5064950
125,-12,-3.593889931150472,21.408493847536480,-12.8543568,-0.0007438,26.4462814,-0.2236871,-0.4441709,4.0000000,-0.5039182,1.0468882,17.2108402,-0.3844235,1.4989251
126,-12,-3.586433291150472,21.408493847536480,-12.8539915,-0.0011570,24.7933884,-0.1897919,-0.4563431,4.0000000,-0.5504965,1.0485592,17.5043888,-0.3621898,1.4878905
127,-12,-3.578976651150472,21.408493847536480,-12.8536034,-0.0014876,23.9669418,-0.1554185,-0.4658190,4.0000000,-0.5905027,1.0502435,17.7955303,-0.3411354,1.4646773
128,-12,-3.571520011150472,21.408493847536480,-12.8531904,-0.0018182,23.1404953,-0.1219865,-0.4725650,4.0000000,-0.6256053,1.0519453,18.0828934,-0.3195247,1.4317193
129,-12,-3.564063371150472,21.408493847536480,-12.8527489,-0.0022314,22.3140488,-0.0908903,-0.4746822,4.0000000,-0.6489437,1.0536529,18.3652477,-0.3004207,1.3811296
130,-12,-3.556606731150472,21.408493847536480,-12.8522778,-0.0028099,20.6611576,-0.0624886,-0.4732696,4.0000000,-0.6633293,1.0553436,18.6414700,-0.2832098,1.3184470
131,-12,-3.549150091150472,21.408493847536480,-12.8517761,-0.0033058,19.0082645,-0.0386565,-0.4669073,4.0000000,-0.6669130,1.0570092,18.9082584,-0.2669015,1.2409753
132,-12,-3.541693451150472,21.408493847536480,-12.8512430,-0.0038017,17.3553715,-0.0205531,-0.4548324,4.0000000,-0.6585155,1.0586437,19.1649704,-0.2511493,1.1483682
133,-12,-3.534236811150472,21.408493847536480,-12.8506784,-0.0043802,15.7024794,-0.0068932,-0.4376306,4.0000000,-0.6379140,1.0602213,19.4093723,-0.2373472,1.0414960
134,-12,-3.526780171150472,21.408493847536480,-12.8500834,-0.0051240,13.2231407,0.0018632,-0.4159727,4.0000000,-0.6070087,1.0617211,19.6395512,-0.2249366,0.9272811
135,-12,-3.519323531150472,21.408493847536480,-12.8494596,0.0042149,47.9338837,0.0075591,-0.3907081,4.0000000,-0.5679982,1.0631418,19.8545532,-0.2134181,0.8079522
136,-12,-3.511866891150472,21.408493847536480,-12.8488092,0.0036364,46.2809906,0.0090843,-0.3610618,4.0000000,-0.5194854,1.0644825,20.0527668,-0.2026382,0.6863158
137,-12,-3.504410251150472,21.408493847536480,-12.8481340,0.0029752,43.8016510,0.0079749,-0.3284112,4.0000000,-0.4621754,1.0657123,20.2332325,-0.1946470,0.5676154
