OID_,ClipsFinal_DEM_Large_S3_RegP,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
151,-13,-4.264987531150472,19.298264727536477,-13.1721125,-0.0037190,27.2727280,-0.2528170,-0.9884318,4.0000000,-0.3390852,1.1356654,28.3094501,-1.6377785,6.3978705
152,-13,-4.257530891150472,19.298264727536477,-13.1686668,0.0029752,44.6280975,-0.3775117,-0.9127163,4.0000000,-0.1841121,1.1427532,28.9640217,-1.6413203,5.9146643
153,-13,-4.250074251150472,19.298264727536477,-13.1650877,-0.0006612,35.5371895,-0.4903648,-0.8320190,4.0000000,-0.0356742,1.1495159,29.5688095,-1.6283638,5.4247928
154,-13,-4.242617611150472,19.298264727536477,-13.1613827,-0.0043802,26.4462814,-0.5891858,-0.7438074,4.0000000,0.1063005,1.1558506,30.1178837,-1.5939153,4.9220510
155,-13,-4.235160971150473,19.298264727536477,-13.1575603,0.0019008,43.8016510,-0.6718521,-0.6526542,4.0000000,0.2395734,1.1616534,30.6084042,-1.5448817,4.4629855
156,-13,-4.227704331150473,19.298264727536477,-13.1536312,-0.0019008,34.7107430,-0.7386585,-0.5553643,4.0000000,0.3667291,1.1668096,31.0344067,-1.4774575,4.0432129
157,-13,-4.220247691150472,19.298264727536477,-13.1496058,0.0042149,47.9338837,-0.7904992,-0.4573426,4.0000000,0.4847766,1.1712514,31.3947773,-1.3994617,3.7176321
158,-13,-4.212791051150472,19.298264727536477,-13.1454964,0.0001653,38.8429756,-0.8299789,-0.3587189,4.0000000,0.5947666,1.1749269,31.6857090,-1.3122044,3.4985912
159,-13,-4.406663691150472,19.290808087536480,-13.2122707,-0.0032231,3.3057852,-1.2381544,-0.7562374,4.0000000,-2.0624328,1.0250560,12.6829548,0.5499578,5.4803653
160,-13,-4.399207051150472,19.290808087536480,-13.2113237,-0.0042975,1.6528926,-0.9709807,-0.8516240,4.0000000,-2.1344564,1.0281056,13.4179783,0.4312085,5.6884279
161,-13,-4.391750411150472,19.290808087536480,-13.2103062,-0.0054545,0.8264463,-0.6887550,-0.9439250,4.0000000,-2.1958597,1.0314264,14.1730719,0.3080096,5.9334354
162,-13,-4.384293771150472,19.290808087536480,-13.2092085,0.0033884,45.4545441,-0.4018580,-1.0293797,4.0000000,-2.2382212,1.0350386,14.9457741,0.1794618,6.1935463
163,-13,-4.376837131150472,19.290808087536480,-13.2080202,0.0022314,38.0165291,-0.1209157,-1.1092105,4.0000000,-2.2622578,1.0389602,15.7372169,0.0438369,6.4890575
164,-13,-4.369380491150472,19.290808087536480,-13.2067318,0.0009917,31.4049587,0.1415425,-1.1802956,4.0000000,-2.2625542,1.0431993,16.5440674,-0.0980371,6.7979522
165,-13,-4.361923851150472,19.290808087536480,-13.2053337,-0.0003306,25.6198349,0.3791926,-1.2437273,4.0000000,-2.2404470,1.0477787,17.3687534,-0.2470078,7.1286011
166,-13,-4.354467211150472,19.290808087536480,-13.2038164,-0.0018182,20.6611576,0.5771206,-1.2969055,4.0000000,-2.1949735,1.0527077,18.2073994,-0.3988375,7.4659891
167,-13,-4.347010571150472,19.290808087536480,-13.2021732,-0.0035537,15.7024794,0.7305574,-1.3375486,4.0000000,-2.1236689,1.0580074,19.0632229,-0.5514282,7.7705674
168,-13,-4.339553931150472,19.290808087536480,-13.2003946,-0.0054545,11.5702477,0.8423680,-1.3673488,4.0000000,-2.0297046,1.0636760,19.9291763,-0.7049929,8.0366335
