OID_,ClipsFinal_DEM_Large_S3_RegS2,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
91,-12,-2.363544331150471,21.758955927536480,-12.7533531,-0.0019835,10.7438021,-0.1387357,-0.1644320,4.0000000,0.0639499,1.0247917,12.6295195,-0.3928139,0.4174069
92,-12,-2.356087691150471,21.758955927536480,-12.7517128,-0.0036364,3.3057852,-0.1187867,-0.1478666,4.0000000,0.0548987,1.0256997,12.8561134,-0.3506320,0.3532093
93,-12,-2.348631051150471,21.758955927536480,-12.7500448,-0.0050413,0.0000000,-0.1006580,-0.1263699,4.0000000,0.0481431,1.0265290,13.0566454,-0.3008830,0.2894936
94,-12,-2.341174411150471,21.758955927536480,-12.7483530,0.0035537,42.1487617,-0.0844488,-0.1039554,4.0000000,0.0416784,1.0272613,13.2322617,-0.2495892,0.2327026
95,-12,-2.333717771150471,21.758955927536480,-12.7466412,0.0018182,33.0578499,-0.0704657,-0.0799410,4.0000000,0.0367382,1.0279137,13.3871307,-0.1966201,0.1836604
96,-12,-2.326261131150471,21.758955927536480,-12.7449102,0.0000000,23.9669418,-0.0575775,-0.0521461,4.0000000,0.0319806,1.0284590,13.5139847,-0.1362727,0.1399434
97,-12,-2.318804491150471,21.758955927536480,-12.7431669,-0.0018182,14.8760328,-0.0471259,-0.0234421,4.0000000,0.0279082,1.0288887,13.6142149,-0.0747924,0.1078002
98,-12,-2.945162251150471,21.751499287536483,-12.7936831,-0.0014050,0.0000000,-0.0695955,-0.2797538,4.0000000,-0.6540210,1.0083961,7.3986735,0.0945135,0.4749244
99,-12,-2.937705611150471,21.751499287536483,-12.7942591,-0.0009917,0.0000000,-0.0856944,-0.3065415,4.0000000,-0.7162880,1.0078353,7.1465626,0.1032050,0.5727525
100,-12,-2.930248971150471,21.751499287536483,-12.7948046,-0.0005785,0.8264463,-0.1057061,-0.3293423,4.0000000,-0.7757099,1.0072452,6.8736758,0.1170254,0.6729658
101,-12,-2.922792331150471,21.751499287536483,-12.7953176,-0.0002479,1.6528926,-0.1283531,-0.3486293,4.0000000,-0.8317630,1.0066403,6.5818343,0.1345044,0.7720007
102,-12,-2.915335691150471,21.751499287536483,-12.7957945,0.0000000,2.4793389,-0.1547641,-0.3653483,4.0000000,-0.8868082,1.0060277,6.2703490,0.1561115,0.8733621
103,-12,-2.907879051150471,21.751499287536483,-12.7962322,0.0002479,3.3057852,-0.1843307,-0.3746430,4.0000000,-0.9326354,1.0054202,5.9453144,0.1833494,0.9596443
104,-12,-2.900422411150471,21.751499287536483,-12.7966299,0.0004132,4.1322312,-0.2132205,-0.3781839,4.0000000,-0.9678688,1.0048246,5.6092286,0.2115010,1.0266652
105,-12,-2.892965771150471,21.751499287536483,-12.7969847,0.0005785,5.7851238,-0.2423727,-0.3766503,4.0000000,-0.9937317,1.0042566,5.2674050,0.2404311,1.0782112
106,-12,-2.885509131150471,21.751499287536483,-12.7972984,0.0007438,7.4380164,-0.2696809,-0.3671033,4.0000000,-1.0029371,1.0037216,4.9233022,0.2687304,1.1015197
107,-12,-2.878052491150471,21.751499287536483,-12.7975683,0.0009091,9.0909090,-0.2947631,-0.3528934,4.0000000,-0.9991091,1.0032257,4.5857248,0.2933222,1.1076484
108,-12,-2.870595851150471,21.751499287536483,-12.7977972,0.0009917,9.9173555,-0.3146527,-0.3340123,4.0000000,-0.9785854,1.0027785,4.2533288,0.3105608,1.0923125
109,-12,-2.863139211150471,21.751499287536483,-12.7979841,0.0010744,10.7438021,-0.3291427,-0.3099436,4.0000000,-0.9387291,1.0023806,3.9340765,0.3188418,1.0561541
110,-12,-2.855682571150471,21.751499287536483,-12.7981329,0.0011570,11.5702477,-0.3378301,-0.2813986,4.0000000,-0.8799628,1.0020311,3.6329405,0.3171657,1.0031576
111,-12,-2.848225931150471,21.751499287536483,-12.7982445,0.0010744,10.7438021,-0.3420248,-0.2525207,4.0000000,-0.8079801,1.0017272,3.3496137,0.3029388,0.9474975
112,-12,-2.423197451150471,21.751499287536483,-12.7655268,0.0004132,18.1818180,-0.3086818,-0.1894345,4.0000000,0.1718584,1.0162661,10.2601538,-0.5507274,0.8023538
113,-12,-2.415740811150471,21.751499287536483,-12.7641888,-0.0014050,9.0909090,-0.2801084,-0.2005147,4.0000000,0.1447863,1.0172968,10.5787086,-0.5458158,0.7622473
114,-12,-2.408284171150471,21.751499287536483,-12.7628107,-0.0029752,2.4793389,-0.2521302,-0.2084584,4.0000000,0.1216501,1.0183529,10.8912716,-0.5385670,0.7186707
115,-12,-2.400827531150471,21.751499287536483,-12.7613926,-0.0041322,0.0000000,-0.2243428,-0.2151379,4.0000000,0.0987939,1.0194209,11.1985188,-0.5290696,0.6734943
116,-12,-2.393370891150471,21.751499287536483,-12.7599354,0.0049587,49.5867767,-0.1986440,-0.2184477,4.0000000,0.0786703,1.0204810,11.4977703,-0.5155656,0.6266693
117,-12,-2.385914251150471,21.751499287536483,-12.7584410,0.0037190,40.4958687,-0.1743990,-0.2155789,4.0000000,0.0635172,1.0215405,11.7873049,-0.4946750,0.5713491
