OID_,DEM_Large_S3_RegL2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
94,-12,-3.444757131150471,19.029825687536480,-12.9825850,-0.0005785,35.5371895,50.8620949,-10.4131250,4.0000000,-4.0552988,1.2230200,34.5504341,-16.7709503,541.8384399
95,-12,-3.437300491150471,19.029825687536480,-12.9842176,-0.0088430,17.3553715,37.3330574,-10.5607014,4.0000000,-3.3988264,1.1765865,31.9690590,-17.7225761,555.8685913
96,-12,-3.429843851150471,19.029825687536480,-12.9858160,-0.0072727,20.6611576,73.9523926,-9.8969679,4.0000000,-5.0432239,1.1637833,32.4393234,-14.7507124,377.5952148
97,-12,-3.422387211150471,19.029825687536480,-12.9873781,-0.0057851,23.9669418,29.7781849,-6.2425427,5.0000000,-3.5098300,1.2158488,35.8278465,-8.9752560,173.8861084
98,-12,-3.414930571150471,19.029825687536480,-12.9889021,-0.0044628,28.0991745,2.0428553,-2.4342296,3.0000000,-0.5171346,1.2837702,38.6786728,-4.3513246,33.3662834
99,-12,-3.407473931150471,19.029825687536480,-12.9903898,-0.0029752,33.0578499,-5.0688829,-1.9113216,4.0000000,-0.0054095,1.3121200,37.3680611,-3.8172338,48.5833702
100,-12,-3.400017291150471,19.029825687536480,-12.9918423,-0.0016529,38.0165291,-10.9604549,-2.9765399,4.0000000,-0.2807600,1.2484633,35.7454872,-5.6723194,106.9787979
101,-12,-3.392560651150471,19.029825687536480,-12.9932661,-0.0004959,41.3223152,-14.7768965,-5.2081332,4.0000000,-0.8158713,1.1605829,31.1624413,-9.6003952,211.9072876
102,-12,-3.385104011150471,19.029825687536480,-12.9946661,0.0005785,43.8016510,-69.7191772,-4.9616570,4.0000000,3.2714550,1.1081856,27.9776421,-13.1947699,333.0963440
103,-12,-3.377647371150471,19.029825687536480,-12.9960499,0.0017355,46.2809906,-64.2597580,-6.8505383,4.0000000,1.7336854,1.1575413,28.5850487,-15.4347620,441.6649780
