OID_,RegN,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
68,-13,-4.443946891150471,20.111038487536479,-13.2565851,0.0000000,0.0000000,1.1004274,-1.4083879,4.0000000,-0.5670085,1.0014044,3.0087152,-2.2497671,5.7519636
69,-13,-4.436490251150471,20.111038487536479,-13.2561312,0.0000000,0.0000000,0.6557776,-1.2339194,4.0000000,-0.5033886,1.0024198,3.9812500,-1.9644502,4.8075361
70,-13,-4.429033611150471,20.111038487536479,-13.2555590,-0.0000826,0.0000000,0.0997087,-1.0045577,4.0000000,-0.4462961,1.0035611,4.8409700,-1.5628192,3.8761754
71,-13,-4.421576971150471,20.111038487536479,-13.2548857,-0.0004132,0.0000000,-0.5286310,-0.7206653,4.0000000,-0.4073921,1.0046929,5.5634694,-1.0339384,3.1858282
72,-13,-4.414120331150471,20.111038487536479,-13.2541351,-0.0008264,0.0000000,-1.1683327,-0.3916356,4.0000000,-0.4032932,1.0056809,6.1188807,-0.3799780,3.0186119
73,-13,-4.406663691150471,20.111038487536479,-13.2533340,-0.0013223,0.0000000,-1.7601286,-0.0275015,4.0000000,-0.4499838,1.0064476,6.5096869,0.3949807,3.6162767
74,-13,-4.399207051150471,20.111038487536479,-13.2525110,-0.0018182,0.0000000,-2.2500594,0.3503948,4.0000000,-0.5562223,1.0069506,6.7444501,1.2570118,5.1138506
75,-13,-4.391750411150471,20.111038487536479,-13.2516985,-0.0023967,0.0000000,-2.6167309,0.7210677,4.0000000,-0.7065263,1.0072418,6.8602638,2.1486619,7.4661016
76,-13,-4.384293771150471,20.111038487536479,-13.2509251,-0.0029752,0.0000000,-2.8857276,1.0601871,4.0000000,-0.8448067,1.0074611,6.9368672,2.9651809,10.4524670
77,-13,-4.376837131150471,20.111038487536479,-13.2502174,-0.0035537,0.0000000,-3.0752642,1.3573991,3.0000000,-0.8592349,1.0077897,7.0607691,3.5740333,13.7513990
78,-13,-4.570709771150471,20.103581847536478,-13.2486610,0.0032231,32.2314034,-0.3857903,-0.1648396,4.0000000,-0.7962476,1.0043972,5.3510909,0.4665684,0.8995165
79,-13,-4.563253131150471,20.103581847536478,-13.2493591,0.0041322,41.3223152,-0.4333800,-0.1296562,4.0000000,-0.7585540,1.0046370,5.4977746,0.4992415,0.9544878
80,-13,-4.555796491150471,20.103581847536478,-13.2500811,-0.0049587,0.0000000,-0.4315790,-0.1257790,4.0000000,-0.7051520,1.0048933,5.6528225,0.4535941,0.9476137
81,-13,-4.548339851150471,20.103581847536478,-13.2508249,-0.0040496,0.0000000,-0.3729932,-0.1590728,4.0000000,-0.6400734,1.0051190,5.7849245,0.3219278,0.8679004
82,-13,-4.540883211150471,20.103581847536478,-13.2515860,-0.0031405,0.0000000,-0.2663709,-0.2280386,4.0000000,-0.5753654,1.0052465,5.8625526,0.1192882,0.7598625
83,-13,-4.533426571150471,20.103581847536478,-13.2523518,-0.0022314,0.0000000,-0.1290286,-0.3204603,5.0000000,-0.5211126,1.0052398,5.8627915,-0.1198081,0.6857864
84,-13,-4.525969931150471,20.103581847536478,-13.2531128,-0.0013223,0.0000000,0.0335189,-0.4348707,4.0000000,-0.4843571,1.0050797,5.7758679,-0.3853843,0.7045065
85,-13,-4.518513291150471,20.103581847536478,-13.2538548,-0.0004132,0.0000000,0.2158854,-0.5679114,4.0000000,-0.4694251,1.0047399,5.5850763,-0.6663978,0.8726773
86,-13,-4.511056651150471,20.103581847536478,-13.2545624,0.0000000,0.0000000,0.4238085,-0.7255281,4.0000000,-0.4807436,1.0042235,5.2759581,-0.9703127,1.2734002
87,-13,-4.503600011150471,20.103581847536478,-13.2552204,0.0000000,0.0000000,0.6605209,-0.9049551,4.0000000,-0.5152597,1.0035408,4.8336701,-1.2946504,1.9726440
88,-13,-4.496143371150471,20.103581847536478,-13.2558088,0.0000000,0.0000000,0.9305895,-1.1017108,4.0000000,-0.5729827,1.0027198,4.2345061,-1.6304389,3.0139699
89,-13,-4.488686731150471,20.103581847536478,-13.2563066,0.0000000,0.0000000,1.2187669,-1.2962751,4.0000000,-0.6521409,1.0018454,3.4778731,-1.9404094,4.3031106
90,-13,-4.481230091150471,20.103581847536478,-13.2566938,0.0000000,0.0000000,1.5022768,-1.4693762,4.0000000,-0.7645535,1.0010341,2.5765874,-2.1741989,5.6461401
91,-13,-4.473773451150471,20.103581847536478,-13.2569523,0.0000000,0.0000000,1.7373017,-1.5997868,4.0000000,-0.9931248,1.0004202,1.5757333,-2.2064488,6.7699666
92,-13,-4.466316811150471,20.103581847536478,-13.2570696,0.0000000,0.0000000,1.8788841,-1.6700978,6.0000000,-2.1883583,1.0001215,0.6625432,-1.1518372,7.4015808
93,-13,-4.458860171150471,20.103581847536478,-13.2570372,0.0000000,0.0000000,1.9043517,-1.6816719,5.0000000,-1.3084694,1.0002038,0.9886914,-2.0548742,7.5070996
94,-13,-4.451403531150471,20.103581847536478,-13.2568560,0.0000000,0.0000000,1.8021259,-1.6413280,4.0000000,-0.8666273,1.0006794,2.0359688,-2.4160285,7.1832809
95,-13,-4.443946891150471,20.103581847536478,-13.2565289,0.0000000,0.0000000,1.5617200,-1.5505196,4.0000000,-0.7709524,1.0015179,3.1196675,-2.3300867,6.5172362
96,-13,-4.436490251150471,20.103581847536478,-13.2560606,0.0000000,0.0000000,1.1775959,-1.4023857,4.0000000,-0.7042124,1.0026401,4.1499138,-2.1005592,5.5490222
97,-13,-4.429033611150471,20.103581847536478,-13.2554655,-0.0001653,0.0000000,0.6619360,-1.1941299,4.0000000,-0.6364643,1.0039318,5.0829949,-1.7517955,4.4282775
98,-13,-4.421576971150471,20.103581847536478,-13.2547579,-0.0005785,0.0000000,0.0551656,-0.9273168,4.0000000,-0.5709668,1.0052524,5.8823023,-1.2836668,3.3862476
99,-13,-4.414120331150471,20.103581847536478,-13.2539606,-0.0010744,0.0000000,-0.5779872,-0.6117976,4.0000000,-0.5191134,1.0064429,6.5169706,-0.7044817,2.7199056
100,-13,-4.406663691150471,20.103581847536478,-13.2531004,-0.0016529,0.0000000,-1.1818713,-0.2560540,4.0000000,-0.4937972,1.0073913,6.9773045,-0.0183108,2.7090049
101,-13,-4.399207051150471,20.103581847536478,-13.2522049,-0.0022314,0.0000000,-1.6933004,0.1195960,4.0000000,-0.5103645,1.0080266,7.2593274,0.7495564,3.5515795
102,-13,-4.391750411150471,20.103581847536478,-13.2513056,-0.0028926,0.0000000,-2.0984828,0.4920858,4.0000000,-0.5808868,1.0083567,7.3884559,1.5650585,5.3047242
