OID_,RegF2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
85,-13,-4.883888651150472,18.597340567536481,-13.2436180,-0.0012397,23.9669418,-0.4008161,-0.0064770,4.0000000,0.0381486,1.0524487,18.1653423,-0.0511026,0.9836148
86,-13,-4.876432011150472,18.597340567536481,-13.2425909,-0.0023140,19.8347111,-0.4093034,0.0320819,4.0000000,0.1194876,1.0518383,18.0635586,-0.0553237,1.0085604
87,-13,-4.868975371150472,18.597340567536481,-13.2415400,-0.0032231,16.5289249,-0.4185426,0.0728144,4.0000000,0.1938063,1.0511564,17.9500065,-0.0481775,1.0524402
88,-13,-4.861518731150472,18.597340567536481,-13.2404652,-0.0042149,13.2231407,-0.4202700,0.1215460,4.0000000,0.2705418,1.0504060,17.8231182,-0.0274498,1.1043591
89,-13,-4.854062091150472,18.597340567536481,-13.2393723,0.0046281,47.1074371,-0.4154390,0.1738274,4.0000000,0.3418641,1.0495765,17.6813831,0.0057907,1.1694169
90,-13,-4.846605451150472,18.597340567536481,-13.2382641,0.0035537,42.1487617,-0.4086873,0.2226960,4.0000000,0.3974079,1.0487070,17.5314274,0.0479842,1.2474064
91,-13,-4.839148811150472,18.597340567536481,-13.2371435,0.0023967,37.1900826,-0.3917397,0.2714693,4.0000000,0.4446363,1.0478288,17.3770714,0.0983024,1.3220971
92,-13,-4.831692171150472,18.597340567536481,-13.2360106,0.0013223,32.2314034,-0.3545519,0.3252032,4.0000000,0.4894811,1.0469476,17.2228718,0.1609252,1.3850996
93,-13,-4.824235531150472,18.597340567536481,-13.2348700,0.0001653,27.2727280,-0.2970134,0.3841987,4.0000000,0.5358137,1.0460693,17.0664177,0.2325837,1.4450693
94,-13,-5.092674571150472,18.589883927536480,-13.2565918,0.0013223,33.8842964,-0.3870476,-0.1911509,4.0000000,-0.3689742,1.0399110,15.9252281,-0.0133275,1.0891412
95,-13,-5.085217931150471,18.589883927536480,-13.2567539,0.0014876,34.7107430,-0.3965405,-0.1811434,4.0000000,-0.3943620,1.0411198,16.1571522,0.0320752,1.1012568
96,-13,-5.077761291150471,18.589883927536480,-13.2568874,0.0016529,35.5371895,-0.4113857,-0.1805986,4.0000000,-0.4440363,1.0423599,16.3913708,0.0828392,1.1448247
97,-13,-5.070304651150471,18.589883927536480,-13.2569885,0.0017355,36.3636360,-0.4268551,-0.1784001,4.0000000,-0.4957609,1.0436360,16.6267471,0.1389606,1.1879065
98,-13,-5.062848011150471,18.589883927536480,-13.2570543,0.0016529,36.3636360,-0.4357304,-0.1631075,4.0000000,-0.5280134,1.0449255,16.8616619,0.2017984,1.1922439
99,-13,-5.055391371150471,18.589883927536480,-13.2570848,0.0015702,36.3636360,-0.4385282,-0.1376842,5.0000000,-0.5454560,1.0462033,17.0933762,0.2700875,1.1677809
100,-13,-5.047934731150471,18.589883927536480,-13.2570801,0.0014876,36.3636360,-0.4409159,-0.1132214,4.0000000,-0.5678344,1.0474628,17.3167000,0.3413916,1.1486437
101,-13,-5.040478091150471,18.589883927536480,-13.2570391,0.0014050,36.3636360,-0.4460555,-0.0901543,4.0000000,-0.5955515,1.0486883,17.5291576,0.4152429,1.1421975
102,-13,-5.033021451150471,18.589883927536480,-13.2569618,0.0013223,36.3636360,-0.4488515,-0.0621940,4.0000000,-0.6141591,1.0498549,17.7313328,0.4897710,1.1292579
103,-13,-5.025564811150471,18.589883927536480,-13.2568455,0.0012397,36.3636360,-0.4465778,-0.0283048,4.0000000,-0.6182442,1.0509442,17.9167061,0.5616347,1.1058753
104,-13,-5.018108171150471,18.589883927536480,-13.2566929,0.0011570,36.3636360,-0.4450397,0.0025744,4.0000000,-0.6207236,1.0519327,18.0824909,0.6258724,1.0941002
105,-13,-5.010651531150471,18.589883927536480,-13.2565022,0.0010744,36.3636360,-0.4476216,0.0278000,4.0000000,-0.6243266,1.0527989,18.2268620,0.6799266,1.1000941
106,-13,-5.003194891150471,18.589883927536480,-13.2562742,0.0008264,35.5371895,-0.4581790,0.0449247,4.0000000,-0.6308378,1.0535315,18.3476315,0.7206873,1.1294806
107,-13,-4.995738251150471,18.589883927536480,-13.2560072,0.0005785,34.7107430,-0.4774467,0.0547351,4.0000000,-0.6374473,1.0541128,18.4418583,0.7469175,1.1807247
108,-13,-4.988281611150471,18.589883927536480,-13.2557001,0.0004132,33.8842964,-0.5181363,0.0468528,4.0000000,-0.6618544,1.0545459,18.5105534,0.7555600,1.2820302
109,-13,-4.980824971150471,18.589883927536480,-13.2553511,0.0002479,33.0578499,-0.5802982,0.0215736,4.0000000,-0.7042931,1.0548607,18.5584221,0.7474403,1.4384340
110,-13,-4.973368331150471,18.589883927536480,-13.2549543,-0.0000826,31.4049587,-0.6469529,-0.0143084,4.0000000,-0.7485192,1.0550826,18.5938778,0.7199023,1.6176586
111,-13,-4.965911691150471,18.589883927536480,-13.2545052,-0.0004959,29.7520657,-0.6946585,-0.0467147,4.0000000,-0.7683879,1.0552416,18.6197834,0.6749585,1.7589799
112,-13,-4.958455051150471,18.589883927536480,-13.2539997,-0.0009091,28.0991745,-0.7166927,-0.0729173,4.0000000,-0.7592014,1.0553603,18.6362648,0.6133667,1.8380091
113,-13,-4.950998411150471,18.589883927536480,-13.2534351,-0.0014876,25.6198349,-0.7183645,-0.0961291,4.0000000,-0.7299029,1.0554255,18.6446762,0.5376446,1.8669208
114,-13,-4.943541771150471,18.589883927536480,-13.2528124,-0.0021488,23.1404953,-0.7080973,-0.1183775,4.0000000,-0.6896154,1.0554368,18.6467609,0.4528604,1.8678024
115,-13,-4.936085131150471,18.589883927536480,-13.2521296,-0.0028926,19.8347111,-0.6859487,-0.1353741,4.0000000,-0.6359701,1.0554255,18.6443691,0.3652218,1.8331789
116,-13,-4.928628491150471,18.589883927536480,-13.2513866,-0.0037190,16.5289249,-0.6488626,-0.1424469,4.0000000,-0.5652044,1.0553925,18.6387444,0.2803107,1.7456000
117,-13,-4.921171851150472,18.589883927536480,-13.2505865,-0.0044628,14.0495872,-0.6032317,-0.1389769,4.0000000,-0.4800248,1.0553294,18.6282635,0.2020709,1.6193312
118,-13,-4.913715211150471,18.589883927536480,-13.2497311,0.0047107,47.9338837,-0.5565924,-0.1237965,4.0000000,-0.3844433,1.0552253,18.6121998,0.1368504,1.4744239
119,-13,-4.906258571150472,18.589883927536480,-13.2488260,0.0038017,44.6280975,-0.5109718,-0.0958265,4.0000000,-0.2768219,1.0550569,18.5869198,0.0851689,1.3214800
120,-13,-4.898801931150471,18.589883927536480,-13.2478743,0.0028099,40.4958687,-0.4722404,-0.0602673,4.0000000,-0.1674570,1.0548013,18.5458794,0.0469224,1.1906633
121,-13,-4.891345291150472,18.589883927536480,-13.2468834,0.0019008,37.1900826,-0.4422247,-0.0212960,4.0000000,-0.0638369,1.0544443,18.4888630,0.0212450,1.0960354
122,-13,-4.883888651150472,18.589883927536480,-13.2458582,0.0009917,33.0578499,-0.4225789,0.0193149,4.0000000,0.0290192,1.0539882,18.4149628,0.0096105,1.0448651
123,-13,-4.876432011150472,18.589883927536480,-13.2448044,-0.0000826,28.9256191,-0.4121324,0.0566635,4.0000000,0.1034177,1.0534528,18.3266602,0.0099093,1.0323067
124,-13,-4.868975371150472,18.589883927536480,-13.2437239,-0.0010744,24.7933884,-0.4032646,0.0968324,4.0000000,0.1712655,1.0528687,18.2316780,0.0223993,1.0409808
125,-13,-4.861518731150472,18.589883927536480,-13.2426205,-0.0021488,20.6611576,-0.3898887,0.1447344,4.0000000,0.2410112,1.0522302,18.1277046,0.0484576,1.0659604
