OID_,RegA,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
133,-13,-5.003194891150471,17.538497687536481,-13.0588417,0.0032231,32.2314034,0.1203554,-0.4328046,4.0000000,-0.2981631,1.0042450,5.2608323,-0.5674461,0.5152421
134,-13,-4.995738251150471,17.538497687536481,-13.0594969,0.0041322,41.3223152,0.1209944,-0.4095561,4.0000000,-0.2672698,1.0038170,4.9901600,-0.5518423,0.4337351
135,-13,-4.988281611150471,17.538497687536481,-13.0601187,-0.0049587,0.0000000,0.1152177,-0.3881803,4.0000000,-0.2370008,1.0034419,4.7394981,-0.5393599,0.3758144
136,-13,-4.980824971150471,17.538497687536481,-13.0607080,-0.0040496,0.0000000,0.1027713,-0.3660150,4.0000000,-0.2045655,1.0031112,4.5059319,-0.5274646,0.3329657
137,-13,-4.973368331150471,17.538497687536481,-13.0612669,-0.0031405,0.0000000,0.0891716,-0.3486726,4.0000000,-0.1743782,1.0028181,4.2910509,-0.5229670,0.3100490
138,-13,-4.965911691150471,17.538497687536481,-13.0617971,-0.0022314,0.0000000,0.0804106,-0.3449557,4.0000000,-0.1522003,1.0025516,4.0867038,-0.5377111,0.3170184
139,-13,-4.958455051150471,17.538497687536481,-13.0622988,-0.0013223,0.0000000,0.0762946,-0.3526923,4.0000000,-0.1396287,1.0022922,3.8731983,-0.5657559,0.3467643
140,-13,-4.950998411150471,17.538497687536481,-13.0627689,-0.0004959,0.0000000,0.0775793,-0.3718891,4.0000000,-0.1413196,1.0020304,3.6491427,-0.6024585,0.3998915
141,-13,-4.943541771150471,17.538497687536481,-13.0632057,-0.0000826,0.0000000,0.0848794,-0.3986452,4.0000000,-0.1647696,1.0017620,3.4021604,-0.6325207,0.4678897
142,-13,-4.936085131150471,17.538497687536481,-13.0636053,0.0000000,0.0000000,0.0956539,-0.4322487,4.0000000,-0.2110738,1.0014905,3.1283715,-0.6534235,0.5582293
143,-13,-4.928628491150471,17.538497687536481,-13.0639658,0.0000000,0.0000000,0.1076613,-0.4705133,4.0000000,-0.2836545,1.0012163,2.8284514,-0.6573722,0.6726244
144,-13,-4.921171851150471,17.538497687536481,-13.0642805,0.0000000,0.0000000,0.1173167,-0.5090613,4.0000000,-0.3831749,1.0009420,2.4873652,-0.6349477,0.8044856
145,-13,-4.913715211150471,17.538497687536481,-13.0645475,0.0000000,0.0000000,0.1197442,-0.5388371,4.0000000,-0.5048277,1.0006859,2.1189926,-0.5728465,0.9243192
146,-13,-5.085217931150471,17.531041047536480,-13.0488033,0.0039669,39.6694221,-0.1766933,-0.1042567,4.0000000,-0.2463783,1.0113802,8.6108551,0.0378648,0.4166970
