OID_,RegL,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
60,-12,-2.542503691150472,20.133408407536479,-12.9001989,-0.0047107,1.6528926,-0.0130466,0.1710735,4.0000000,0.2508221,1.0249027,12.6537390,0.0913249,0.1610105
61,-12,-2.535047051150472,20.133408407536479,-12.8998594,0.0049587,48.7603302,0.0051795,0.1982533,4.0000000,0.2517238,1.0245000,12.5515585,0.1447829,0.1641478
62,-12,-2.527590411150472,20.133408407536479,-12.8995314,0.0047107,47.1074371,0.0192016,0.2175244,4.0000000,0.2335316,1.0241433,12.4606676,0.2015171,0.1668069
63,-12,-2.520133771150472,20.133408407536479,-12.8992128,0.0045455,45.4545441,0.0267007,0.2290149,4.0000000,0.1995422,1.0238403,12.3823261,0.2584876,0.1705615
64,-12,-2.512677131150472,20.133408407536479,-12.8989038,0.0042975,43.8016510,0.0238757,0.2308027,4.0000000,0.1491058,1.0235906,12.3195601,0.3124997,0.1777592
65,-12,-2.505220491150472,20.133408407536479,-12.8986006,0.0040496,42.1487617,0.0077781,0.2233198,4.0000000,0.0838859,1.0234019,12.2705526,0.3627537,0.1955898
66,-12,-2.497763851150472,20.133408407536479,-12.8983011,0.0037190,39.6694221,-0.0234684,0.2053917,4.0000000,0.0027861,1.0232728,12.2371264,0.4079973,0.2282497
67,-12,-2.490307211150472,20.133408407536479,-12.8979988,0.0034711,38.0165291,-0.0562170,0.1932787,4.0000000,-0.0621235,1.0231934,12.2171278,0.4486808,0.2773069
68,-12,-2.482850571150472,20.133408407536479,-12.8976889,0.0032231,36.3636360,-0.0791893,0.1943201,4.0000000,-0.0961637,1.0231408,12.2054977,0.4848039,0.3280147
69,-12,-2.475393931150472,20.133408407536479,-12.8973713,0.0028926,34.7107430,-0.0905472,0.2064979,4.0000000,-0.1046988,1.0231001,12.1951866,0.5176947,0.3727358
70,-12,-2.467937291150472,20.133408407536479,-12.8970442,0.0025620,33.0578499,-0.0997692,0.2206908,4.0000000,-0.1072391,1.0230678,12.1873217,0.5486207,0.4178973
71,-12,-2.460480651150472,20.133408407536479,-12.8967075,0.0021488,30.5785122,-0.1080867,0.2340930,4.0000000,-0.1066657,1.0230387,12.1801682,0.5748518,0.4613515
72,-12,-2.453024011150472,20.133408407536479,-12.8963614,0.0018182,28.9256191,-0.1166748,0.2450746,4.0000000,-0.1049631,1.0230103,12.1728430,0.5951122,0.5020105
73,-12,-2.445567371150472,20.133408407536479,-12.8960056,0.0014050,27.2727280,-0.1251535,0.2569455,4.0000000,-0.1001772,1.0229679,12.1616240,0.6140682,0.5454645
74,-12,-2.438110731150472,20.133408407536479,-12.8956394,0.0009917,25.6198349,-0.1307077,0.2703729,4.0000000,-0.0900305,1.0229088,12.1464987,0.6307763,0.5874464
75,-12,-2.430654091150472,20.133408407536479,-12.8952618,0.0005785,23.1404953,-0.1315585,0.2867677,4.0000000,-0.0733059,1.0228332,12.1282873,0.6468414,0.6280634
76,-12,-2.423197451150472,20.133408407536479,-12.8948755,0.0000826,20.6611576,-0.1161313,0.3127909,4.0000000,-0.0372359,1.0227402,12.1034060,0.6628177,0.6612270
77,-12,-2.415740811150472,20.133408407536479,-12.8944798,-0.0003306,19.0082645,-0.0852033,0.3483018,4.0000000,0.0144779,1.0226172,12.0710344,0.6821256,0.6947633
78,-12,-2.408284171150472,20.133408407536479,-12.8940792,-0.0007438,17.3553715,-0.0509939,0.3824303,4.0000000,0.0654032,1.0224593,12.0293303,0.6994573,0.7277947
79,-12,-2.400827531150472,20.133408407536479,-12.8936758,-0.0012397,14.8760328,-0.0318948,0.4057989,4.0000000,0.0957066,1.0222766,11.9805918,0.7158912,0.7653455
80,-12,-2.393370891150472,20.133408407536479,-12.8932724,-0.0017355,12.3966942,-0.0200042,0.4229040,4.0000000,0.1178487,1.0220755,11.9282036,0.7279593,0.8002968
81,-12,-2.385914251150472,20.133408407536479,-12.8928680,-0.0022314,9.9173555,-0.0006352,0.4434641,4.0000000,0.1476601,1.0218598,11.8700991,0.7392681,0.8349071
82,-12,-2.378457611150472,20.133408407536479,-12.8924656,-0.0026446,8.2644625,0.0360127,0.4711505,4.0000000,0.1935717,1.0216134,11.8031960,0.7487293,0.8649530
83,-12,-2.371000971150472,20.133408407536479,-12.8920670,-0.0030579,6.6115704,0.0907114,0.5057371,4.0000000,0.2560264,1.0213276,11.7279196,0.7554477,0.8931845
84,-12,-2.363544331150472,20.133408407536479,-12.8916759,-0.0034711,4.9586778,0.1565452,0.5436489,4.0000000,0.3246023,1.0210053,11.6394901,0.7626954,0.9235757
85,-12,-2.356087691150472,20.133408407536479,-12.8912983,-0.0038843,3.3057852,0.2222022,0.5785769,4.0000000,0.3912416,1.0206583,11.5430155,0.7659121,0.9522263
86,-12,-2.348631051150472,20.133408407536479,-12.8909369,-0.0042149,2.4793389,0.2737058,0.6028448,4.0000000,0.4431875,1.0202938,11.4422531,0.7625021,0.9659765
87,-12,-2.341174411150472,20.133408407536479,-12.8905973,-0.0044628,1.6528926,0.3016152,0.6122520,4.0000000,0.4728007,1.0199231,11.3381929,0.7517033,0.9557839
88,-12,-2.333717771150472,20.133408407536479,-12.8902826,-0.0047107,0.8264463,0.2952636,0.6002506,4.0000000,0.4679047,1.0195633,11.2352486,0.7325965,0.9064563
89,-12,-2.572330251150472,20.125951767536478,-12.9033337,-0.0019008,14.0495872,-0.0472490,-0.0099151,4.0000000,0.0487319,1.0268115,13.1240730,-0.0685621,0.1053620
90,-12,-2.564873611150472,20.125951767536478,-12.9029531,-0.0023140,11.5702477,-0.0412145,0.0558232,4.0000000,0.1351326,1.0264258,13.0291166,-0.0234861,0.1063829
91,-12,-2.557416971150472,20.125951767536478,-12.9025745,-0.0026446,9.9173555,-0.0265164,0.1121211,4.0000000,0.1949185,1.0260284,12.9301615,0.0293238,0.1166675
92,-12,-2.549960331150472,20.125951767536478,-12.9022036,-0.0029752,8.2644625,-0.0059439,0.1618504,4.0000000,0.2350716,1.0256360,12.8344316,0.0886292,0.1318406
93,-12,-2.542503691150472,20.125951767536478,-12.9018421,-0.0033058,6.6115704,0.0154794,0.2021394,4.0000000,0.2542525,1.0252749,12.7428303,0.1500263,0.1488226
94,-12,-2.535047051150472,20.125951767536478,-12.9014921,-0.0037190,4.9586778,0.0355561,0.2342636,4.0000000,0.2567845,1.0249474,12.6612129,0.2117427,0.1650579
95,-12,-2.527590411150472,20.125951767536478,-12.9011545,-0.0040496,3.3057852,0.0489859,0.2561162,4.0000000,0.2396414,1.0246590,12.5901260,0.2725909,0.1804879
96,-12,-2.520133771150472,20.125951767536478,-12.9008293,-0.0042975,2.4793389,0.0546150,0.2699433,4.0000000,0.2075577,1.0244286,12.5308685,0.3323289,0.1973163
97,-12,-2.512677131150472,20.125951767536478,-12.9005136,-0.0045455,1.6528926,0.0469417,0.2710600,4.0000000,0.1557747,1.0242535,12.4855642,0.3863453,0.2137370
98,-12,-2.505220491150472,20.125951767536478,-12.9002066,-0.0047934,0.8264463,0.0237384,0.2601139,4.0000000,0.0867176,1.0241292,12.4560280,0.4335103,0.2362550
99,-12,-2.497763851150472,20.125951767536478,-12.8999033,0.0048760,48.7603302,-0.0155911,0.2390010,4.0000000,0.0014841,1.0240579,12.4387550,0.4765179,0.2739651
100,-12,-2.490307211150472,20.125951767536478,-12.8995991,0.0047107,47.1074371,-0.0545373,0.2229709,4.0000000,-0.0673252,1.0240378,12.4345646,0.5132669,0.3254210
101,-12,-2.482850571150472,20.125951767536478,-12.8992872,0.0045455,45.4545441,-0.0813590,0.2200685,4.0000000,-0.1054669,1.0240501,12.4373083,0.5456039,0.3773679
102,-12,-2.475393931150472,20.125951767536478,-12.8989668,0.0042975,43.8016510,-0.0947570,0.2299014,4.0000000,-0.1163402,1.0240691,12.4437294,0.5761430,0.4247030
103,-12,-2.467937291150472,20.125951767536478,-12.8986378,0.0040496,42.1487617,-0.1054020,0.2402967,4.0000000,-0.1208227,1.0240866,12.4496593,0.6014161,0.4681820
104,-12,-2.460480651150472,20.125951767536478,-12.8982992,0.0037190,39.6694221,-0.1153486,0.2499136,4.0000000,-0.1227924,1.0241029,12.4535446,0.6226196,0.5095198
105,-12,-2.453024011150472,20.125951767536478,-12.8979511,0.0034711,38.0165291,-0.1254405,0.2589983,4.0000000,-0.1225489,1.0241160,12.4562054,0.6405455,0.5509145
106,-12,-2.445567371150472,20.125951767536478,-12.8975916,0.0031405,36.3636360,-0.1342275,0.2684895,4.0000000,-0.1193239,1.0241114,12.4573183,0.6563029,0.5911919
107,-12,-2.438110731150472,20.125951767536478,-12.8972216,0.0028099,34.7107430,-0.1392521,0.2799834,4.0000000,-0.1098117,1.0240955,12.4536428,0.6697784,0.6289292
108,-12,-2.430654091150472,20.125951767536478,-12.8968401,0.0023967,32.2314034,-0.1399554,0.2946877,4.0000000,-0.0944289,1.0240712,12.4456673,0.6838044,0.6664623
109,-12,-2.423197451150472,20.125951767536478,-12.8964481,0.0019008,29.7520657,-0.1218336,0.3217721,4.0000000,-0.0565708,1.0240200,12.4339142,0.7001151,0.6985127
110,-12,-2.415740811150472,20.125951767536478,-12.8960466,0.0014876,28.0991745,-0.0891353,0.3557087,4.0000000,-0.0044965,1.0239338,12.4131460,0.7159138,0.7262712
111,-12,-2.408284171150472,20.125951767536478,-12.8956394,0.0010744,26.4462814,-0.0533753,0.3903945,4.0000000,0.0476571,1.0238100,12.3811855,0.7331319,0.7600603
112,-12,-2.400827531150472,20.125951767536478,-12.8952303,0.0005785,23.9669418,-0.0356361,0.4122547,4.0000000,0.0771685,1.0236583,12.3419161,0.7473409,0.7970192
113,-12,-2.393370891150472,20.125951767536478,-12.8948193,0.0000826,21.4876041,-0.0240999,0.4295234,4.0000000,0.0995986,1.0234847,12.2966194,0.7594482,0.8344527
114,-12,-2.385914251150472,20.125951767536478,-12.8944082,-0.0004132,19.0082645,-0.0060924,0.4485577,4.0000000,0.1294123,1.0232853,12.2467051,0.7677032,0.8675900
115,-12,-2.378457611150472,20.125951767536478,-12.8939972,-0.0008264,17.3553715,0.0306267,0.4765411,4.0000000,0.1778492,1.0230534,12.1868677,0.7752331,0.9002548
116,-12,-2.371000971150472,20.125951767536478,-12.8935890,-0.0013223,14.8760328,0.0862503,0.5118255,4.0000000,0.2451054,1.0227796,12.1151953,0.7785456,0.9317024
117,-12,-2.363544331150472,20.125951767536478,-12.8931885,-0.0018182,12.3966942,0.1557571,0.5522701,4.0000000,0.3218861,1.0224508,12.0288801,0.7826542,0.9689335
118,-12,-2.356087691150472,20.125951767536478,-12.8928013,-0.0023140,9.9173555,0.2231372,0.5886215,4.0000000,0.3941059,1.0220801,11.9308929,0.7831371,1.0043643
119,-12,-2.348631051150472,20.125951767536478,-12.8924303,-0.0027273,8.2644625,0.2742402,0.6132156,4.0000000,0.4500021,1.0216875,11.8237238,0.7764290,1.0233426
