OID_,RegG,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
87,-13,-4.160594571150471,19.350461207536480,-13.1030636,-0.0009091,35.5371895,0.7403701,1.3030206,4.0000000,1.9927828,1.1419097,28.8693733,0.6132583,10.9333868
88,-13,-4.153137931150471,19.350461207536480,-13.0991125,0.0051240,49.5867767,0.9643699,1.3871421,4.0000000,2.0132356,1.1360861,28.3301392,0.7610485,11.3532286
89,-13,-4.145681291150471,19.350461207536480,-13.0952406,0.0011570,40.4958687,1.1016268,1.4498821,4.0000000,2.0240643,1.1299638,27.7440834,0.8757000,11.6906118
90,-13,-4.138224651150471,19.350461207536480,-13.0914555,-0.0026446,31.4049587,1.1697084,1.4978827,4.0000000,2.0220344,1.1236447,27.1240158,0.9737309,11.9700069
91,-13,-4.130768011150471,19.350461207536480,-13.0877609,0.0040496,45.4545441,1.1683450,1.5324664,4.0000000,2.0060625,1.1172379,26.4732075,1.0588703,12.1989527
92,-13,-4.123311371150471,19.350461207536480,-13.0841618,0.0001653,36.3636360,1.0983843,1.5533150,4.0000000,1.9730635,1.1107773,25.7920246,1.1335667,12.3556738
93,-13,-4.115854731150471,19.350461207536480,-13.0806608,-0.0033884,27.2727280,0.9394912,1.5520308,4.0000000,1.9195093,1.1043957,25.0952168,1.1845522,12.3580399
94,-13,-4.108398091150471,19.350461207536480,-13.0772591,0.0034711,42.9752083,0.7066810,1.5271835,4.0000000,1.8448454,1.0982348,24.3958511,1.2095218,12.1620054
95,-13,-4.384293771150471,19.343004567536479,-13.1973591,0.0023967,40.4958687,-3.1829972,0.3392451,4.0000000,-1.4129411,1.0583786,19.1375866,2.0914314,8.2810259
96,-13,-4.376837131150472,19.343004567536479,-13.1958370,0.0007438,33.0578499,-2.7826602,0.2659173,4.0000000,-1.3070263,1.0628693,19.8289680,1.8388609,7.2546940
97,-13,-4.369380491150471,19.343004567536479,-13.1942577,-0.0007438,27.2727280,-2.4558520,0.1910296,4.0000000,-1.1889806,1.0672858,20.4786396,1.5710398,6.4306178
98,-13,-4.361923851150472,19.343004567536479,-13.1926088,-0.0023140,22.3140488,-2.2218575,0.1150831,4.0000000,-1.0622653,1.0715729,21.0851765,1.2924314,5.8691692
