OID_,RegB,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
72,-13,-3.914525451150471,18.008266007536481,-13.0583963,0.0028926,43.8016510,-0.1061653,-0.2236251,4.0000000,0.1646183,1.0490401,17.5910797,-0.6118685,0.4613143
73,-13,-3.907068811150471,18.008266007536481,-13.0560675,0.0007438,34.7107430,-0.1128553,-0.2083981,4.0000000,0.1867841,1.0503610,17.8187790,-0.6035803,0.4490877
74,-13,-3.899612171150471,18.008266007536481,-13.0537052,-0.0010744,25.6198349,-0.1274230,-0.1801011,4.0000000,0.2154223,1.0515970,18.0304241,-0.5756245,0.4375948
75,-13,-3.892155531150471,18.008266007536481,-13.0513105,-0.0035537,16.5289249,-0.1483187,-0.1333727,4.0000000,0.2495096,1.0526741,18.2116508,-0.5162550,0.4280283
76,-13,-3.884698891150471,18.008266007536481,-13.0488892,0.0037190,45.4545441,-0.1778381,-0.0712224,4.0000000,0.2887497,1.0534564,18.3418465,-0.4311944,0.4517619
77,-13,-3.877242251150471,18.008266007536481,-13.0464497,0.0013223,36.3636360,-0.2171146,0.0021084,4.0000000,0.3307892,1.0539299,18.4218140,-0.3265724,0.5377814
78,-13,-3.869785611150471,18.008266007536481,-13.0439978,-0.0006612,27.2727280,-0.2657973,0.0847249,4.0000000,0.3743162,1.0540336,18.4395256,-0.2048665,0.7058592
79,-13,-4.011461771150471,18.000809367536480,-13.0859938,0.0009917,30.5785122,-0.5924419,-0.1175607,4.0000000,0.1465855,1.0323513,14.3859510,-0.3817070,1.4001036
80,-13,-4.004005131150471,18.000809367536480,-13.0840883,-0.0008264,21.4876041,-0.5217642,-0.0826251,4.0000000,0.1425046,1.0335948,14.6491070,-0.3077548,1.2168412
81,-13,-3.996548491150471,18.000809367536480,-13.0821524,-0.0027273,12.3966942,-0.4516270,-0.0622041,4.0000000,0.1385400,1.0347600,14.8927641,-0.2629482,1.0496042
82,-13,-3.989091851150471,18.000809367536480,-13.0801897,-0.0050413,3.3057852,-0.3814328,-0.0498636,4.0000000,0.1347344,1.0358754,15.1237736,-0.2344616,0.8870504
83,-13,-3.981635211150471,18.000809367536480,-13.0782003,0.0028926,42.9752083,-0.3194765,-0.0507815,4.0000000,0.1313670,1.0369225,15.3331051,-0.2329300,0.7476761
84,-13,-3.974178571150471,18.000809367536480,-13.0761881,0.0010744,33.8842964,-0.2715932,-0.0744822,4.0000000,0.1252095,1.0379784,15.5412426,-0.2741740,0.6513544
85,-13,-3.966721931150471,18.000809367536480,-13.0741482,-0.0007438,24.7933884,-0.2347421,-0.1120619,4.0000000,0.1196367,1.0391287,15.7679691,-0.3437604,0.5970522
86,-13,-3.959265291150472,18.000809367536480,-13.0720797,-0.0028099,15.7024794,-0.2000640,-0.1495541,4.0000000,0.1143387,1.0403806,16.0108242,-0.4134469,0.5595666
87,-13,-3.951808651150472,18.000809367536480,-13.0699778,0.0047107,49.5867767,-0.1692293,-0.1883500,4.0000000,0.1090744,1.0417246,16.2649937,-0.4857745,0.5450168
88,-13,-3.944352011150472,18.000809367536480,-13.0678406,0.0023967,40.4958687,-0.1419798,-0.2231301,4.0000000,0.1061451,1.0431566,16.5350094,-0.5524052,0.5439299
89,-13,-3.936895371150472,18.000809367536480,-13.0656652,0.0004132,31.4049587,-0.1190661,-0.2515584,4.0000000,0.1053018,1.0446700,16.8125439,-0.6084185,0.5493798
90,-13,-3.929438731150471,18.000809367536480,-13.0634499,-0.0015702,22.3140488,-0.1011392,-0.2703735,4.0000000,0.1061407,1.0462133,17.0916481,-0.6468877,0.5506193
91,-13,-3.921982091150471,18.000809367536480,-13.0611944,-0.0039669,13.2231407,-0.0894799,-0.2794651,4.0000000,0.1101545,1.0477794,17.3710766,-0.6690846,0.5455728
92,-13,-3.914525451150471,18.000809367536480,-13.0588980,0.0033884,45.4545441,-0.0834333,-0.2758791,4.0000000,0.1175775,1.0493277,17.6386814,-0.6693358,0.5232401
93,-13,-3.907068811150471,18.000809367536480,-13.0565615,0.0011570,36.3636360,-0.0851901,-0.2660071,4.0000000,0.1287807,1.0507828,17.8884125,-0.6607948,0.5046916
94,-13,-3.899612171150471,18.000809367536480,-13.0541887,-0.0007438,27.2727280,-0.0970728,-0.2449582,4.0000000,0.1473776,1.0521561,18.1220093,-0.6372940,0.4868408
95,-13,-3.892155531150471,18.000809367536480,-13.0517807,-0.0031405,18.1818180,-0.1182005,-0.2053353,4.0000000,0.1729224,1.0533959,18.3304520,-0.5835930,0.4614076
96,-13,-3.884698891150471,18.000809367536480,-13.0493422,0.0041322,47.1074371,-0.1495155,-0.1512266,4.0000000,0.2027069,1.0543773,18.4908257,-0.5051600,0.4566883
97,-13,-3.877242251150471,18.000809367536480,-13.0468798,0.0016529,38.0165291,-0.1937855,-0.0838354,4.0000000,0.2377788,1.0550611,18.6041126,-0.4054496,0.5024278
98,-13,-3.869785611150471,18.000809367536480,-13.0444002,-0.0004132,28.9256191,-0.2504170,-0.0077435,4.0000000,0.2742700,1.0553881,18.6584778,-0.2897570,0.6218370
99,-13,-3.862328971150471,18.000809367536480,-13.0419130,-0.0028926,19.8347111,-0.3220845,0.0694544,4.0000000,0.3092917,1.0553286,18.6460838,-0.1703828,0.8329834
100,-13,-4.018918411150471,17.993352727536479,-13.0881329,0.0030579,40.4958687,-0.7124490,-0.1601106,4.0000000,0.1644808,1.0298357,13.8270664,-0.4847020,1.7048506
101,-13,-4.011461771150471,17.993352727536479,-13.0862989,0.0012397,31.4049587,-0.6354427,-0.1206242,4.0000000,0.1547237,1.0312644,14.1455679,-0.3959721,1.4944191
102,-13,-4.004005131150471,17.993352727536479,-13.0844288,-0.0005785,22.3140488,-0.5539343,-0.0933790,4.0000000,0.1469849,1.0325857,14.4328146,-0.3337429,1.2929074
103,-13,-3.996548491150471,17.993352727536479,-13.0825272,-0.0023967,13.2231407,-0.4742317,-0.0781338,4.0000000,0.1423372,1.0338446,14.7006617,-0.2986048,1.1064554
104,-13,-3.989091851150471,17.993352727536479,-13.0805941,-0.0046281,4.1322312,-0.3973091,-0.0712089,4.0000000,0.1380404,1.0350688,14.9563551,-0.2804582,0.9309006
105,-13,-3.981635211150471,17.993352727536479,-13.0786314,0.0033058,44.6280975,-0.3298292,-0.0768244,4.0000000,0.1339616,1.0362298,15.1922512,-0.2876103,0.7827241
106,-13,-3.974178571150471,17.993352727536479,-13.0766411,0.0014876,35.5371895,-0.2776733,-0.1036095,4.0000000,0.1281245,1.0373988,15.4251986,-0.3353434,0.6850848
107,-13,-3.966721931150471,17.993352727536479,-13.0746212,-0.0003306,26.4462814,-0.2370989,-0.1437343,4.0000000,0.1214099,1.0386616,15.6761665,-0.4088786,0.6351476
108,-13,-3.959265291150472,17.993352727536479,-13.0725679,-0.0023140,17.3553715,-0.1989734,-0.1848538,4.0000000,0.1131572,1.0400280,15.9422817,-0.4828647,0.6060853
109,-13,-3.951808651150472,17.993352727536479,-13.0704775,-0.0047107,8.2644625,-0.1651958,-0.2253628,4.0000000,0.1049134,1.0414816,16.2192650,-0.5556390,0.6004209
110,-13,-3.944352011150472,17.993352727536479,-13.0683489,0.0028926,42.9752083,-0.1354212,-0.2629271,4.0000000,0.0972985,1.0430255,16.5099354,-0.6231527,0.6116382
111,-13,-3.936895371150472,17.993352727536479,-13.0661783,0.0008264,33.8842964,-0.1096114,-0.2924399,4.0000000,0.0913249,1.0446540,16.8090954,-0.6762047,0.6238004
112,-13,-3.929438731150471,17.993352727536479,-13.0639639,-0.0010744,24.7933884,-0.0871187,-0.3126729,4.0000000,0.0847684,1.0463092,17.1076012,-0.7101142,0.6259914
113,-13,-3.921982091150471,17.993352727536479,-13.0617065,-0.0033884,15.7024794,-0.0705363,-0.3231113,4.0000000,0.0805597,1.0479668,17.4021702,-0.7267823,0.6176127
114,-13,-3.914525451150471,17.993352727536479,-13.0594053,0.0038843,47.1074371,-0.0604156,-0.3231469,4.0000000,0.0792074,1.0496086,17.6874657,-0.7255012,0.5954320
115,-13,-3.907068811150471,17.993352727536479,-13.0570621,0.0015702,38.0165291,-0.0579194,-0.3186807,4.0000000,0.0806559,1.0511857,17.9542599,-0.7180173,0.5784761
116,-13,-3.899612171150471,17.993352727536479,-13.0546789,-0.0004132,28.9256191,-0.0647565,-0.3049673,4.0000000,0.0870288,1.0526922,18.2080956,-0.6969634,0.5586981
117,-13,-3.892155531150471,17.993352727536479,-13.0522566,-0.0027273,19.8347111,-0.0831544,-0.2740601,4.0000000,0.1004376,1.0540743,18.4394455,-0.6485577,0.5257136
