OID_,RegI,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
72,-12,-2.274064651150473,18.850866327536476,-12.9859505,0.0004132,4.1322312,-0.1094756,0.2015264,4.0000000,0.3677624,1.0045123,5.4347529,0.0352903,0.3895737
73,-12,-2.266608011150473,18.850866327536476,-12.9861269,0.0006612,6.6115704,-0.0110702,0.3436148,4.0000000,0.5960933,1.0048341,5.6262903,0.0911364,0.5075028
74,-12,-2.259151371150473,18.850866327536476,-12.9863281,0.0009091,9.0909090,0.1119502,0.4938772,4.0000000,0.8370909,1.0051926,5.8324957,0.1506635,0.7747542
75,-12,-2.251694731150473,18.850866327536476,-12.9865704,0.0012397,12.3966942,0.2471403,0.6499438,4.0000000,1.0628322,1.0056070,6.0588074,0.2370554,1.2348889
76,-12,-2.423197451150472,18.843409687536479,-12.9785061,0.0029752,29.7520657,0.0772560,0.3275391,3.0000000,0.3576931,1.0047036,5.5579982,0.2973850,0.2802302
77,-12,-2.415740811150473,18.843409687536479,-12.9790344,0.0037190,37.1900826,0.0394301,0.2425830,4.0000000,0.2470443,1.0049515,5.7033310,0.2381217,0.1597137
78,-12,-2.408284171150473,18.843409687536479,-12.9795847,0.0045455,45.4545441,0.0128153,0.1482652,4.0000000,0.1317714,1.0051235,5.8014455,0.1647589,0.0634924
79,-12,-2.400827531150473,18.843409687536479,-12.9801483,-0.0045455,0.0000000,0.0000287,0.0549581,4.0000000,0.0248190,1.0052056,5.8471975,0.0850971,0.0122076
80,-12,-2.393370891150473,18.843409687536479,-12.9807167,-0.0037190,0.0000000,-0.0001068,-0.0356948,4.0000000,-0.0726746,1.0052028,5.8452625,0.0012850,0.0054784
81,-12,-2.385914251150473,18.843409687536479,-12.9812832,-0.0029752,0.0000000,0.0104979,-0.1203541,4.0000000,-0.1556849,1.0051214,5.7964659,-0.0850232,0.0378897
82,-12,-2.378457611150472,18.843409687536479,-12.9818401,-0.0023140,0.0000000,0.0277130,-0.1944360,4.0000000,-0.2211065,1.0049655,5.7047234,-0.1677654,0.0979307
