OID_,RegJ,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
90,-12,-2.870595851150472,19.961905687536479,-12.9547033,-0.0002479,29.7520657,-0.0872782,-0.0494992,4.0000000,0.2144601,1.0511500,17.9652252,-0.3134585,0.2196499
91,-12,-2.863139211150472,19.961905687536479,-12.9545374,-0.0004132,28.9256191,-0.0855061,-0.0656226,4.0000000,0.2146570,1.0513289,17.9946041,-0.3459023,0.2220388
92,-12,-2.855682571150472,19.961905687536479,-12.9543867,-0.0005785,28.0991745,-0.0808672,-0.0859727,4.0000000,0.2025855,1.0514297,18.0100136,-0.3745308,0.2227867
93,-12,-2.848225931150472,19.961905687536479,-12.9542494,-0.0007438,27.2727280,-0.0721347,-0.1136863,4.0000000,0.1757920,1.0514444,18.0136795,-0.4031646,0.2245939
94,-12,-2.840769291150472,19.961905687536479,-12.9541235,-0.0008264,27.2727280,-0.0570370,-0.1475505,4.0000000,0.1331770,1.0513922,18.0055752,-0.4282780,0.2267718
95,-12,-2.833312651150472,19.961905687536479,-12.9540071,-0.0009091,27.2727280,-0.0349549,-0.1889887,4.0000000,0.0748293,1.0512801,17.9852734,-0.4528066,0.2368238
96,-12,-2.825856011150472,19.961905687536479,-12.9538946,-0.0009091,27.2727280,-0.0072631,-0.2350211,4.0000000,0.0055941,1.0510938,17.9543381,-0.4756362,0.2612657
97,-12,-2.818399371150472,19.961905687536479,-12.9537830,-0.0009917,26.4462814,0.0235710,-0.2841543,4.0000000,-0.0680679,1.0508336,17.9115391,-0.5002406,0.3081912
98,-12,-2.810942731150472,19.961905687536479,-12.9536657,-0.0010744,25.6198349,0.0568800,-0.3339444,4.0000000,-0.1444915,1.0505068,17.8558807,-0.5233973,0.3761271
99,-12,-2.803486091150472,19.961905687536479,-12.9535389,-0.0011570,24.7933884,0.0920301,-0.3844160,4.0000000,-0.2193351,1.0501111,17.7868977,-0.5494968,0.4668881
100,-12,-2.796029451150472,19.961905687536479,-12.9533958,-0.0012397,23.9669418,0.1289271,-0.4324330,4.0000000,-0.2901924,1.0496557,17.7089596,-0.5746736,0.5685050
101,-12,-2.788572811150472,19.961905687536479,-12.9532328,-0.0014050,23.1404953,0.1636964,-0.4750898,4.0000000,-0.3496811,1.0491691,17.6256104,-0.6004986,0.6723708
102,-12,-2.781116171150472,19.961905687536479,-12.9530449,-0.0015702,22.3140488,0.1849952,-0.5029390,4.0000000,-0.3804671,1.0486740,17.5399094,-0.6254110,0.7509498
103,-12,-2.773659531150472,19.961905687536479,-12.9528284,-0.0019008,20.6611576,0.1828334,-0.5094956,4.0000000,-0.3705512,1.0481648,17.4516373,-0.6484401,0.7829295
104,-12,-2.766202891150472,19.961905687536479,-12.9525852,-0.0022314,19.0082645,0.1552961,-0.4952511,4.0000000,-0.3224159,1.0476323,17.3585472,-0.6680862,0.7722996
105,-12,-2.758746251150472,19.961905687536479,-12.9523163,-0.0025620,17.3553715,0.1141652,-0.4699510,4.0000000,-0.2550663,1.0470659,17.2597980,-0.6848357,0.7455705
106,-12,-2.967532171150472,19.954449047536482,-12.9603367,-0.0044628,9.0909090,-0.3146736,0.1291316,4.0000000,0.0449201,1.0414896,16.2373505,0.2133431,0.8151413
107,-12,-2.960075531150472,19.954449047536482,-12.9600134,-0.0049587,7.4380164,-0.2843952,0.1065918,4.0000000,0.0613432,1.0426677,16.4593353,0.1518404,0.7243459
108,-12,-2.952618891150472,19.954449047536482,-12.9597025,0.0047107,49.5867767,-0.2522147,0.0809132,4.0000000,0.0749131,1.0437812,16.6657391,0.0869133,0.6298440
109,-12,-2.945162251150472,19.954449047536482,-12.9594059,0.0043802,48.7603302,-0.2194148,0.0556704,4.0000000,0.0899363,1.0448071,16.8550987,0.0214045,0.5387025
110,-12,-2.937705611150472,19.954449047536482,-12.9591217,0.0040496,47.9338837,-0.1876562,0.0257233,4.0000000,0.0960116,1.0457412,17.0236111,-0.0445651,0.4529760
111,-12,-2.930248971150472,19.954449047536482,-12.9588499,0.0037190,47.1074371,-0.1593243,-0.0054120,4.0000000,0.0986210,1.0465796,17.1736526,-0.1094449,0.3824263
112,-12,-2.922792331150472,19.954449047536482,-12.9585905,0.0033884,45.4545441,-0.1354213,-0.0338697,4.0000000,0.1049901,1.0473198,17.3044491,-0.1727294,0.3296057
113,-12,-2.915335691150472,19.954449047536482,-12.9583406,0.0030579,43.8016510,-0.1209191,-0.0542175,4.0000000,0.1230795,1.0479544,17.4164028,-0.2315145,0.3019674
114,-12,-2.907879051150472,19.954449047536482,-12.9581022,0.0027273,42.9752083,-0.1142139,-0.0721694,4.0000000,0.1448422,1.0484922,17.5089836,-0.2891809,0.2947176
115,-12,-2.900422411150472,19.954449047536482,-12.9578762,0.0023967,42.1487617,-0.1139082,-0.0884417,4.0000000,0.1657438,1.0489459,17.5858631,-0.3426273,0.3041402
116,-12,-2.892965771150472,19.954449047536482,-12.9576635,0.0020661,41.3223152,-0.1142273,-0.1074846,4.0000000,0.1768005,1.0493207,17.6514931,-0.3917696,0.3198297
117,-12,-2.885509131150472,19.954449047536482,-12.9574642,0.0019008,40.4958687,-0.1128798,-0.1277981,4.0000000,0.1809175,1.0496387,17.7067757,-0.4365138,0.3361059
118,-12,-2.878052491150472,19.954449047536482,-12.9572773,0.0017355,39.6694221,-0.1116875,-0.1470633,4.0000000,0.1830530,1.0499033,17.7513351,-0.4771796,0.3551027
119,-12,-2.870595851150472,19.954449047536482,-12.9571028,0.0015702,38.8429756,-0.1126036,-0.1629790,4.0000000,0.1883291,1.0500981,17.7845211,-0.5142872,0.3775978
120,-12,-2.863139211150472,19.954449047536482,-12.9569416,0.0014050,38.0165291,-0.1105636,-0.1797161,4.0000000,0.1870424,1.0502177,17.8055935,-0.5464745,0.3967274
