OID_,RegC,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
88,-12,-3.638629771150471,18.589883927536480,-12.9987822,0.0035537,44.6280975,-0.1428178,-0.1845570,4.0000000,-0.0904495,1.0363792,15.2643156,-0.2786646,0.4815488
89,-12,-3.631173131150471,18.589883927536480,-12.9992485,0.0038843,46.2809906,-0.1559707,-0.2970454,4.0000000,-0.3273604,1.0355701,15.0986338,-0.2667303,0.7686229
90,-12,-3.623716491150471,18.589883927536480,-12.9997082,0.0042149,47.9338837,-0.1831387,-0.4072153,4.0000000,-0.5560044,1.0344170,14.8571148,-0.2584261,1.1994748
91,-13,-3.616259851150471,18.589883927536480,-13.0001488,-0.0053719,0.0000000,-0.2308517,-0.5059044,4.0000000,-0.7605224,1.0329617,14.5460911,-0.2512865,1.7320445
92,-13,-3.608803211150471,18.589883927536480,-13.0005598,-0.0049587,0.0000000,-0.3052464,-0.5853935,4.0000000,-0.9236450,1.0312563,14.1706705,-0.2471421,2.2993116
93,-13,-3.601346571150471,18.589883927536480,-13.0009327,-0.0047107,0.0000000,-0.4097332,-0.6393453,4.0000000,-1.0329413,1.0293700,13.7439909,-0.2457492,2.8248382
94,-13,-3.593889931150471,18.589883927536480,-13.0012608,-0.0044628,0.0000000,-0.5393378,-0.6674972,4.0000000,-1.0885011,1.0273751,13.2753649,-0.2464932,3.2581887
95,-13,-3.586433291150471,18.589883927536480,-13.0015421,-0.0042149,0.0000000,-0.6747653,-0.6772515,4.0000000,-1.1043036,1.0253271,12.7776079,-0.2501994,3.5861156
96,-13,-3.578976651150471,18.589883927536480,-13.0017738,-0.0040496,0.0000000,-0.8060449,-0.6778159,4.0000000,-1.0975953,1.0232844,12.2576065,-0.2580364,3.8422601
97,-13,-3.571520011150471,18.589883927536480,-13.0019569,-0.0039669,0.0000000,-0.9151360,-0.6756193,4.0000000,-1.0799376,1.0212803,11.7242165,-0.2713010,4.0291739
98,-13,-3.564063371150471,18.589883927536480,-13.0020895,-0.0038843,0.0000000,-1.0090179,-0.6707835,4.0000000,-1.0505893,1.0193371,11.1839819,-0.2909776,4.1653056
99,-13,-3.556606731150471,18.589883927536480,-13.0021687,-0.0038017,0.0000000,-1.1012878,-0.6516124,4.0000000,-0.9833636,1.0174975,10.6433477,-0.3198612,4.2142429
100,-13,-3.549150091150471,18.589883927536480,-13.0021944,-0.0037190,0.0000000,-1.1945987,-0.6098049,5.0000000,-0.8653963,1.0157771,10.1100969,-0.3542134,4.1483059
101,-13,-3.541693451150471,18.589883927536480,-13.0021687,-0.0036364,0.0000000,-1.2895103,-0.5480336,4.0000000,-0.7061642,1.0141705,9.5878172,-0.3899029,4.0097876
102,-13,-3.534236811150471,18.589883927536480,-13.0020962,-0.0036364,0.0000000,-1.3682986,-0.4764477,4.0000000,-0.5289366,1.0126846,9.0753374,-0.4239588,3.8357642
103,-13,-3.526780171150471,18.589883927536480,-13.0019817,-0.0036364,0.0000000,-1.4242802,-0.4071000,4.0000000,-0.3575842,1.0113171,8.5745640,-0.4566157,3.6711576
104,-13,-3.519323531150471,18.589883927536480,-13.0018301,-0.0037190,0.0000000,-1.4601847,-0.3491729,4.0000000,-0.2080748,1.0100595,8.0862341,-0.4902710,3.5429916
105,-13,-3.511866891150471,18.589883927536480,-13.0016441,-0.0038017,0.0000000,-1.4835367,-0.3055418,4.0000000,-0.0799975,1.0089140,7.6135077,-0.5310861,3.4559228
