OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
90,-13,-4.406663691150471,20.029015447536480,-13.2490692,0.0038843,38.8429756,0.0722005,-0.8021697,4.0000000,-0.5001544,1.0092000,7.7465649,-1.1041850
91,-13,-4.600536331150471,20.021558807536479,-13.2445841,-0.0005785,0.0000000,0.0478998,-0.4381819,4.0000000,-0.8119484,1.0061704,6.3521681,-0.0644154
92,-13,-4.593079691150471,20.021558807536479,-13.2453442,-0.0002479,0.0000000,0.1257786,-0.4885651,4.0000000,-0.8228359,1.0059592,6.2406797,-0.1542943
93,-13,-4.585623051150471,20.021558807536479,-13.2460918,0.0001653,2.4793389,0.1929209,-0.5274442,4.0000000,-0.8188706,1.0056891,6.0963545,-0.2360178
94,-13,-4.578166411150471,20.021558807536479,-13.2468204,0.0007438,7.4380164,0.2517441,-0.5581697,4.0000000,-0.8023615,1.0053835,5.9301562,-0.3139780
95,-13,-4.570709771150471,20.021558807536479,-13.2475290,0.0014050,14.0495872,0.3025819,-0.5836124,4.0000000,-0.7777630,1.0050555,5.7462130,-0.3894618
96,-13,-4.563253131150471,20.021558807536479,-13.2482128,0.0021488,21.4876041,0.3462869,-0.6054578,4.0000000,-0.7454679,1.0047101,5.5454860,-0.4654476
97,-13,-4.555796491150471,20.021558807536479,-13.2488699,0.0029752,29.7520657,0.3836174,-0.6258600,4.0000000,-0.7085739,1.0043560,5.3332944,-0.5431461
98,-13,-4.496143371150471,20.021558807536479,-13.2526674,-0.0004959,0.0000000,0.6972602,-0.9453464,4.0000000,-0.8712340,1.0014787,3.1011550,-1.0194587
99,-13,-4.488686731150471,20.021558807536479,-13.2528763,-0.0002479,0.0000000,0.7386561,-1.0007521,4.0000000,-1.1441258,1.0012453,2.8385465,-0.8573785
100,-13,-4.481230091150471,20.021558807536479,-13.2530022,-0.0000826,0.0000000,0.7685915,-1.0508618,4.0000000,-1.4757516,1.0011104,2.6748817,-0.6259719
101,-13,-4.473773451150471,20.021558807536479,-13.2530384,-0.0000826,0.0000000,0.7855709,-1.0953950,5.0000000,-1.7318400,1.0011059,2.6656067,-0.4589499
102,-13,-4.466316811150471,20.021558807536479,-13.2529774,-0.0003306,0.0000000,0.7868763,-1.1306468,4.0000000,-1.7645843,1.0012637,2.8492973,-0.4967093
103,-13,-4.458860171150471,20.021558807536479,-13.2528143,-0.0007438,0.0000000,0.7652585,-1.1507244,4.0000000,-1.5867956,1.0016097,3.2210176,-0.7146533
104,-13,-4.451403531150471,20.021558807536479,-13.2525454,-0.0013223,0.0000000,0.7227710,-1.1570828,5.0000000,-1.3349133,1.0021622,3.7408416,-0.9792523
105,-13,-4.443946891150471,20.021558807536479,-13.2521677,-0.0020661,0.0000000,0.6624033,-1.1482770,4.0000000,-1.0948651,1.0029340,4.3652239,-1.2016889
106,-13,-4.436490251150471,20.021558807536479,-13.2516794,-0.0029752,0.0000000,0.5865830,-1.1216822,4.0000000,-0.9004130,1.0039173,5.0488701,-1.3429514
107,-13,-4.429033611150471,20.021558807536479,-13.2510824,-0.0038843,0.0000000,0.4908766,-1.0754416,4.0000000,-0.7495155,1.0050933,5.7622743,-1.4013677
108,-13,-4.421576971150471,20.021558807536479,-13.2503796,-0.0047934,0.0000000,0.3859246,-1.0145315,4.0000000,-0.6379361,1.0064392,6.4802942,-1.3911270
109,-13,-4.414120331150471,20.021558807536479,-13.2495737,0.0042975,42.9752083,0.2717366,-0.9385911,4.0000000,-0.5556105,1.0079134,7.1832266,-1.3215716
110,-13,-4.406663691150471,20.021558807536479,-13.2486715,0.0033884,33.8842964,0.1462358,-0.8484983,4.0000000,-0.4920655,1.0094697,7.8583841,-1.2049311
111,-13,-4.399207051150471,20.021558807536479,-13.2476807,0.0023140,24.7933884,0.0104676,-0.7465469,4.0000000,-0.4447072,1.0110704,8.4912148,-1.0483866
112,-13,-4.600536331150471,20.014102167536482,-13.2442408,-0.0008264,0.0000000,0.0577663,-0.4500220,4.0000000,-0.8143966,1.0066096,6.5751295,-0.0856474
113,-13,-4.593079691150471,20.014102167536482,-13.2450132,-0.0004132,0.0000000,0.1440516,-0.5083525,4.0000000,-0.8390930,1.0063804,6.4581575,-0.1776120
114,-13,-4.585623051150471,20.014102167536482,-13.2457724,0.0000000,1.6528926,0.2209204,-0.5552279,4.0000000,-0.8468652,1.0060879,6.3057461,-0.2635905
115,-13,-4.578166411150471,20.014102167536482,-13.2465124,0.0005785,5.7851238,0.2894986,-0.5932639,4.0000000,-0.8407546,1.0057478,6.1268334,-0.3457732
116,-13,-4.570709771150471,20.014102167536482,-13.2472296,0.0011570,11.5702477,0.3480317,-0.6238644,4.0000000,-0.8242437,1.0053779,5.9267106,-0.4234850
117,-13,-4.563253131150471,20.014102167536482,-13.2479191,0.0018182,18.1818180,0.3973637,-0.6484597,4.0000000,-0.7967997,1.0049939,5.7094698,-0.5001197
118,-13,-4.555796491150471,20.014102167536482,-13.2485800,0.0025620,25.6198349,0.4425695,-0.6725867,4.0000000,-0.7652807,1.0046033,5.4819641,-0.5798928
119,-13,-4.548339851150471,20.014102167536482,-13.2492075,0.0033884,33.8842964,0.4822932,-0.6960114,4.0000000,-0.7289612,1.0042022,5.2375546,-0.6630616
120,-13,-4.540883211150471,20.014102167536482,-13.2497988,0.0042149,42.1487617,0.5187942,-0.7211288,4.0000000,-0.6935619,1.0038012,4.9816442,-0.7486959
121,-13,-4.533426571150471,20.014102167536482,-13.2503490,-0.0048760,0.0000000,0.5517429,-0.7476827,4.0000000,-0.6623704,1.0034035,4.7144294,-0.8329949
122,-13,-4.511056651150471,20.014102167536482,-13.2517166,-0.0021488,0.0000000,0.6737168,-0.8651242,5.0000000,-0.6912570,1.0022570,3.8360784,-1.0389913
123,-13,-4.503600011150471,20.014102167536482,-13.2520590,-0.0014050,0.0000000,0.7159266,-0.9119399,5.0000000,-0.7861661,1.0019188,3.5340385,-1.0377136
124,-13,-4.496143371150471,20.014102167536482,-13.2523336,-0.0009091,0.0000000,0.7603974,-0.9640216,4.0000000,-0.9598029,1.0016251,3.2505045,-0.9682404
125,-13,-4.488686731150471,20.014102167536482,-13.2525330,-0.0006612,0.0000000,0.7978323,-1.0137787,4.0000000,-1.2127806,1.0014015,3.0138497,-0.8147769
126,-13,-4.481230091150471,20.014102167536482,-13.2526493,-0.0004959,0.0000000,0.8226771,-1.0587326,4.0000000,-1.4984967,1.0012777,2.8715861,-0.6189686
127,-13,-4.473773451150471,20.014102167536482,-13.2526779,-0.0004959,0.0000000,0.8370616,-1.1005567,5.0000000,-1.7101644,1.0012816,2.8721991,-0.4909491
128,-13,-4.466316811150471,20.014102167536482,-13.2526112,-0.0007438,0.0000000,0.8364331,-1.1348227,4.0000000,-1.7344183,1.0014416,3.0470114,-0.5352273
129,-13,-4.458860171150471,20.014102167536482,-13.2524424,-0.0011570,0.0000000,0.8132165,-1.1549104,4.0000000,-1.5739790,1.0017841,3.3957489,-0.7358418
130,-13,-4.451403531150471,20.014102167536482,-13.2521696,-0.0018182,0.0000000,0.7701154,-1.1627680,5.0000000,-1.3384417,1.0023307,3.8846414,-0.9870942
131,-13,-4.443946891150471,20.014102167536482,-13.2517881,-0.0026446,0.0000000,0.7099476,-1.1569287,5.0000000,-1.1051203,1.0030944,4.4820018,-1.2087370
132,-13,-4.436490251150471,20.014102167536482,-13.2512970,-0.0035537,0.0000000,0.6340566,-1.1349980,4.0000000,-0.9111924,1.0040684,5.1458139,-1.3588036
133,-13,-4.429033611150471,20.014102167536482,-13.2506971,-0.0044628,0.0000000,0.5450229,-1.0965672,4.0000000,-0.7592168,1.0052454,5.8463235,-1.4339175
134,-13,-4.421576971150471,20.014102167536482,-13.2499895,0.0046281,46.2809906,0.4451481,-1.0431938,4.0000000,-0.6437972,1.0066029,6.5604768,-1.4425905
135,-13,-4.414120331150471,20.014102167536482,-13.2491779,0.0037190,37.1900826,0.3371060,-0.9742666,4.0000000,-0.5579045,1.0081023,7.2667623,-1.3906288
136,-13,-4.406663691150471,20.014102167536482,-13.2482672,0.0028099,28.9256191,0.2202566,-0.8928401,4.0000000,-0.4920458,1.0097052,7.9527988,-1.2936343
137,-13,-4.399207051150471,20.014102167536482,-13.2472639,0.0017355,20.6611576,0.0958403,-0.8012030,4.0000000,-0.4434758,1.0113693,8.6029692,-1.1589302
138,-13,-4.600536331150471,20.006645527536481,-13.2438536,-0.0011570,0.0000000,0.0641629,-0.4577491,4.0000000,-0.8061855,1.0070839,6.8053112,-0.1093127
139,-13,-4.593079691150471,20.006645527536481,-13.2446384,-0.0006612,0.0000000,0.1599046,-0.5237510,4.0000000,-0.8437563,1.0068426,6.6882787,-0.2037457
140,-13,-4.585623051150471,20.006645527536481,-13.2454090,-0.0002479,0.8264463,0.2468529,-0.5783427,4.0000000,-0.8636587,1.0065311,6.5326819,-0.2930268
141,-13,-4.578166411150471,20.006645527536481,-13.2461596,0.0003306,4.1322312,0.3249627,-0.6234208,4.0000000,-0.8688874,1.0061638,6.3430643,-0.3779543
142,-13,-4.570709771150471,20.006645527536481,-13.2468853,0.0009091,9.0909090,0.3893814,-0.6574645,4.0000000,-0.8587091,1.0057594,6.1316710,-0.4562199
143,-13,-4.563253131150471,20.006645527536481,-13.2475824,0.0014876,14.8760328,0.4486143,-0.6884241,4.0000000,-0.8412330,1.0053357,5.9030766,-0.5356152
144,-13,-4.555796491150471,20.006645527536481,-13.2482471,0.0021488,21.4876041,0.5015756,-0.7162771,4.0000000,-0.8161698,1.0049068,5.6593828,-0.6163844
145,-13,-4.548339851150471,20.006645527536481,-13.2488775,0.0028926,28.9256191,0.5453874,-0.7405073,4.0000000,-0.7851339,1.0044718,5.4014068,-0.6958807
146,-13,-4.540883211150471,20.006645527536481,-13.2494678,0.0036364,36.3636360,0.5855724,-0.7654450,4.0000000,-0.7553516,1.0040400,5.1356421,-0.7755383
147,-13,-4.533426571150471,20.006645527536481,-13.2500172,-0.0055372,0.0000000,0.6234659,-0.7920581,4.0000000,-0.7308941,1.0036181,4.8593116,-0.8532222
148,-13,-4.525969931150471,20.006645527536481,-13.2505188,-0.0047107,0.0000000,0.6611530,-0.8217897,4.0000000,-0.7187928,1.0032080,4.5746889,-0.9247867
149,-13,-4.518513291150471,20.006645527536481,-13.2509708,-0.0038843,0.0000000,0.7005118,-0.8560907,4.0000000,-0.7282917,1.0028136,4.2839804,-0.9838896
150,-13,-4.511056651150471,20.006645527536481,-13.2513666,-0.0030579,0.0000000,0.7447658,-0.8966519,5.0000000,-0.7769051,1.0024388,3.9889686,-1.0163988
151,-13,-4.503600011150471,20.006645527536481,-13.2517004,-0.0023140,0.0000000,0.7858808,-0.9380958,4.0000000,-0.8744617,1.0021026,3.7000413,-1.0017300
152,-13,-4.496143371150471,20.006645527536481,-13.2519665,-0.0018182,0.0000000,0.8238348,-0.9821031,4.0000000,-1.0383338,1.0018170,3.4364071,-0.9258725
153,-13,-4.488686731150471,20.006645527536481,-13.2521582,-0.0015702,0.0000000,0.8568960,-1.0267119,4.0000000,-1.2656935,1.0015993,3.2204900,-0.7877302
154,-13,-4.481230091150471,20.006645527536481,-13.2522678,-0.0014050,0.0000000,0.8803574,-1.0687174,4.0000000,-1.5107709,1.0014786,3.0939057,-0.6266638
155,-13,-4.473773451150471,20.006645527536481,-13.2522898,-0.0014050,0.0000000,0.8894042,-1.1066264,5.0000000,-1.6855257,1.0014834,3.0955493,-0.5277271
