OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1185,,-6.569089291150473,22.452423447536479,-12.6155329,0.0003306,28.0991745,-0.0003512,-0.5594653,4.0000000,-1.1179562,1.0445923,16.7930222,-0.0009745
1186,,-6.561632651150473,22.452423447536479,-12.6171522,0.0019835,35.5371895,0.0090935,-0.5478961,4.0000000,-1.0835679,1.0426700,16.4375477,-0.0122244
1187,,-6.554176011150473,22.452423447536479,-12.6187363,0.0036364,43.8016510,0.0205381,-0.5357438,4.0000000,-1.0441389,1.0408113,16.0872555,-0.0273486
1188,,-6.546719371150473,22.452423447536479,-12.6202822,-0.0047107,8.2644625,0.0374292,-0.5260136,4.0000000,-1.0010303,1.0390135,15.7410736,-0.0509969
1189,,-6.539262731150473,22.452423447536479,-12.6217909,-0.0030579,12.3966942,0.0611023,-0.5232080,4.0000000,-0.9603627,1.0372887,15.3987122,-0.0860533
1190,,-6.531806091150473,22.452423447536479,-12.6232605,-0.0015702,16.5289249,0.0873491,-0.5240068,4.0000000,-0.9181925,1.0356047,15.0567999,-0.1298210
1191,,-6.524349451150472,22.452423447536479,-12.6246891,-0.0002479,21.4876041,0.1157640,-0.5293105,4.0000000,-0.8759458,1.0339741,14.7176743,-0.1826753
1192,,-6.516892811150472,22.452423447536479,-12.6260738,0.0009917,27.2727280,0.1443725,-0.5400263,4.0000000,-0.8358272,1.0323986,14.3815069,-0.2442254
1193,,-6.509436171150472,22.452423447536479,-12.6274118,0.0021488,33.8842964,0.1740025,-0.5585341,5.0000000,-0.7994698,1.0308698,14.0467186,-0.3175985
1194,,-6.501979531150472,22.452423447536479,-12.6286993,0.0033884,41.3223152,0.1978144,-0.5792201,4.0000000,-0.7651848,1.0293989,13.7148895,-0.3932555
1195,,-6.494522891150472,22.452423447536479,-12.6299343,0.0046281,48.7603302,0.2143856,-0.6023198,4.0000000,-0.7333294,1.0279930,13.3889990,-0.4713102
1196,,-6.487066251150472,22.452423447536479,-12.6311121,-0.0041322,4.9586778,0.2212536,-0.6256912,4.0000000,-0.7041301,1.0266566,13.0717125,-0.5472524
1197,,-6.479609611150472,22.452423447536479,-12.6322279,-0.0030579,7.4380164,0.2189171,-0.6481102,4.0000000,-0.6782629,1.0254152,12.7687778,-0.6179575
1198,,-6.472152971150472,22.452423447536479,-12.6332798,-0.0019835,10.7438021,0.2002639,-0.6643820,4.0000000,-0.6514284,1.0243074,12.4906797,-0.6773356
1199,,-6.464696331150472,22.452423447536479,-12.6342659,-0.0010744,14.0495872,0.1687523,-0.6755683,4.0000000,-0.6278114,1.0233396,12.2431564,-0.7233251
1200,,-6.457239691150472,22.452423447536479,-12.6351824,-0.0001653,18.1818180,0.1236924,-0.6790798,4.0000000,-0.6038615,1.0225457,12.0355806,-0.7542982
1201,,-6.449783051150472,22.452423447536479,-12.6360302,0.0007438,22.3140488,0.0651390,-0.6723242,4.0000000,-0.5759236,1.0219547,11.8763332,-0.7687249
1202,,-6.442326411150472,22.452423447536479,-12.6368093,0.0015702,26.4462814,-0.0090679,-0.6531520,4.0000000,-0.5420460,1.0215737,11.7739925,-0.7642581
1203,,-6.434869771150472,22.452423447536479,-12.6375217,0.0023967,31.4049587,-0.0891083,-0.6279767,4.0000000,-0.5054301,1.0214208,11.7325945,-0.7505231
1204,,-6.427413131150472,22.452423447536479,-12.6381702,0.0031405,36.3636360,-0.1785440,-0.5935371,4.0000000,-0.4635540,1.0214942,11.7518835,-0.7235202
1205,,-6.419956491150472,22.452423447536479,-12.6387587,0.0037190,40.4958687,-0.2728730,-0.5485928,4.0000000,-0.4098356,1.0217925,11.8319159,-0.6873500
1206,,-6.412499851150472,22.452423447536479,-12.6392908,0.0042975,43.8016510,-0.3675992,-0.4968096,4.0000000,-0.3449495,1.0223185,11.9721651,-0.6486696
1207,,-6.405043211150472,22.452423447536479,-12.6397743,0.0047107,46.2809906,-0.4593322,-0.4408654,4.0000000,-0.2724595,1.0230557,12.1645470,-0.6092713
1208,,-6.397586571150472,22.452423447536479,-12.6402149,-0.0047934,2.4793389,-0.5502480,-0.3794808,4.0000000,-0.1905186,1.0239862,12.4045429,-0.5684430
1209,,-6.710765451150473,22.444966807536481,-12.5821695,-0.0030579,19.8347111,-0.3244136,-0.3366332,4.0000000,-0.5598705,1.0697190,20.8004761,-0.1133960
1210,,-6.703308811150473,22.444966807536481,-12.5840797,-0.0012397,25.6198349,-0.2793060,-0.3645778,4.0000000,-0.6208657,1.0694443,20.7630596,-0.1082899
1211,,-6.695852171150473,22.444966807536481,-12.5860004,0.0005785,32.2314034,-0.2378629,-0.3915207,4.0000000,-0.6803754,1.0689986,20.6986141,-0.1026660
1212,,-6.688395531150473,22.444966807536481,-12.5879288,0.0024793,39.6694221,-0.2021284,-0.4151078,4.0000000,-0.7360792,1.0683885,20.6119614,-0.0941365
1213,,-6.680938891150473,22.444966807536481,-12.5898609,0.0043802,47.9338837,-0.1689187,-0.4380754,4.0000000,-0.7917993,1.0676223,20.5033264,-0.0843515
1214,,-6.673482251150473,22.444966807536481,-12.5917940,-0.0038017,17.3553715,-0.1337606,-0.4631626,4.0000000,-0.8488076,1.0666939,20.3686924,-0.0775175
1215,,-6.666025611150473,22.444966807536481,-12.5937233,-0.0020661,23.1404953,-0.1046310,-0.4848387,4.0000000,-0.9013659,1.0655895,20.2069283,-0.0683115
1216,,-6.658568971150473,22.444966807536481,-12.5956450,-0.0001653,29.7520657,-0.0809011,-0.5045922,4.0000000,-0.9507549,1.0643272,20.0221367,-0.0584296
1217,,-6.651112331150473,22.444966807536481,-12.5975561,0.0018182,37.1900826,-0.0602712,-0.5222979,4.0000000,-0.9955059,1.0629340,19.8135414,-0.0490897
1218,,-6.643655691150473,22.444966807536481,-12.5994539,0.0038017,45.4545441,-0.0419599,-0.5387611,4.0000000,-1.0369257,1.0614057,19.5831165,-0.0405966
1219,,-6.636199051150473,22.444966807536481,-12.6013336,-0.0042149,15.7024794,-0.0271137,-0.5527228,4.0000000,-1.0727699,1.0597537,19.3306923,-0.0326756
1220,,-6.628742411150473,22.444966807536481,-12.6031933,-0.0023967,21.4876041,-0.0128032,-0.5655370,4.0000000,-1.1027994,1.0580053,19.0573387,-0.0282746
1221,,-6.621285771150473,22.444966807536481,-12.6050301,-0.0005785,28.0991745,-0.0031835,-0.5736094,4.0000000,-1.1238434,1.0561723,18.7653294,-0.0233754
1222,,-6.613829131150473,22.444966807536481,-12.6068411,0.0012397,35.5371895,0.0048901,-0.5790069,4.0000000,-1.1380965,1.0542731,18.4591141,-0.0199172
1223,,-6.606372491150473,22.444966807536481,-12.6086235,0.0031405,43.8016510,0.0102084,-0.5805877,4.0000000,-1.1441100,1.0523190,18.1378326,-0.0170656
1224,,-6.598915851150473,22.444966807536481,-12.6103754,-0.0049587,9.9173555,0.0136039,-0.5782549,4.0000000,-1.1411976,1.0503485,17.8060246,-0.0153124
1225,,-6.591459211150473,22.444966807536481,-12.6120958,-0.0031405,14.8760328,0.0119388,-0.5691857,4.0000000,-1.1268858,1.0483987,17.4688244,-0.0114855
1226,,-6.584002571150473,22.444966807536481,-12.6137838,-0.0014050,20.6611576,0.0086551,-0.5563387,4.0000000,-1.1048310,1.0464704,17.1295815,-0.0078463
1227,,-6.576545931150473,22.444966807536481,-12.6154375,0.0001653,27.2727280,0.0078494,-0.5425648,4.0000000,-1.0773156,1.0445844,16.7913952,-0.0078140
1228,,-6.569089291150473,22.444966807536481,-12.6170588,0.0018182,34.7107430,0.0084436,-0.5273871,4.0000000,-1.0442696,1.0427465,16.4520912,-0.0105047
1229,,-6.561632651150473,22.444966807536481,-12.6186447,0.0034711,42.9752083,0.0118785,-0.5110117,4.0000000,-1.0044278,1.0409683,16.1175365,-0.0175957
1230,,-6.554176011150473,22.444966807536481,-12.6201963,-0.0048760,7.4380164,0.0171957,-0.4936048,4.0000000,-0.9586750,1.0392612,15.7885218,-0.0285345
1231,,-6.546719371150473,22.444966807536481,-12.6217127,-0.0032231,11.5702477,0.0254371,-0.4793973,4.0000000,-0.9130907,1.0376226,15.4657249,-0.0457039
