OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
958,,-6.218627211150471,19.201328407536479,-13.2098799,0.0043802,45.4545441,2.7617383,-1.6844194,4.0000000,-1.4225792,1.0181745,10.8250437,-1.9462596
959,,-6.211170571150471,19.201328407536479,-13.2093697,0.0038843,42.1487617,2.6015556,-1.6346357,4.0000000,-1.3737366,1.0186856,10.9774160,-1.8955348
960,,-6.203713931150471,19.201328407536479,-13.2087727,0.0033058,38.0165291,2.4097478,-1.5734720,4.0000000,-1.3168042,1.0193210,11.1608343,-1.8301399
961,,-6.196257291150471,19.201328407536479,-13.2080908,0.0025620,33.0578499,2.1878481,-1.5003591,4.0000000,-1.2500033,1.0200496,11.3699608,-1.7507148
962,,-6.188800651150471,19.201328407536479,-13.2073307,0.0017355,28.0991745,1.9398267,-1.4153092,4.0000000,-1.1715646,1.0208362,11.5903807,-1.6590539
963,,-6.181344011150471,19.201328407536479,-13.2064972,0.0009091,23.1404953,1.6731123,-1.3186606,4.0000000,-1.0839022,1.0216520,11.8140240,-1.5534189
964,,-6.173887371150471,19.201328407536479,-13.2055969,0.0000826,19.0082645,1.3981967,-1.2125235,4.0000000,-0.9863104,1.0224478,12.0277338,-1.4387364
965,,-6.166430731150471,19.201328407536479,-13.2046375,-0.0008264,14.8760328,1.1216644,-1.0974700,4.0000000,-0.8799069,1.0231825,12.2211113,-1.3150333
966,,-6.158974091150471,19.201328407536479,-13.2036266,-0.0018182,10.7438021,0.8556064,-0.9766211,4.0000000,-0.7666653,1.0238116,12.3866625,-1.1865768
967,,-6.792788491150471,19.193871767536479,-13.0781050,0.0020661,47.1074371,0.9119544,-1.2630467,4.0000000,-0.4473523,1.2844284,38.8923073,-2.0787413
968,,-6.785331851150471,19.193871767536479,-13.0839968,-0.0019008,40.4958687,1.1513066,-1.4300592,4.0000000,-0.5116542,1.2710426,38.1337280,-2.3484643
969,,-6.777875211150471,19.193871767536479,-13.0897169,0.0036364,49.5867767,1.3846467,-1.5693504,4.0000000,-0.5805959,1.2564400,37.2731361,-2.5581048
970,,-6.770418571150471,19.193871767536479,-13.0952511,-0.0009091,41.3223152,1.6042732,-1.6845031,4.0000000,-0.6535384,1.2411413,36.3316574,-2.7154677
971,,-6.762961931150471,19.193871767536479,-13.1005907,-0.0054545,33.0578499,1.7965475,-1.7761352,4.0000000,-0.7287919,1.2254282,35.3147316,-2.8234785
