OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
54,-13,-4.503600011150471,20.096125207536478,-13.2523375,-0.0004132,0.0000000,0.0252423,-0.5300337,4.0000000,-0.0250583,1.0012672,2.8694272,-1.0350091,1.0759614
55,-13,-4.496143371150471,20.096125207536478,-13.2526560,-0.0000826,0.0000000,-0.0290076,-0.5390069,4.0000000,0.0145008,1.0010526,2.6100860,-1.0925148,1.2227204
56,-13,-4.488686731150471,20.096125207536478,-13.2529230,0.0000000,0.0000000,-0.0966919,-0.5390843,5.0000000,0.0016605,1.0008869,2.3886468,-1.0798290,1.3585212
57,-13,-4.481230091150471,20.096125207536478,-13.2531366,0.0000000,0.0000000,-0.1765263,-0.5317115,5.0000000,-0.1082582,1.0007840,2.2394621,-0.9551648,1.4870840
58,-13,-4.473773451150471,20.096125207536478,-13.2532959,0.0000000,0.0000000,-0.2684412,-0.5151624,4.0000000,-0.3313349,1.0007548,2.1944060,-0.6989900,1.6025923
59,-13,-4.466316811150471,20.096125207536478,-13.2533998,0.0000000,0.0000000,-0.3714622,-0.4923646,4.0000000,-0.6234561,1.0008090,2.2698939,-0.3612730,1.7184087
60,-13,-4.458860171150471,20.096125207536478,-13.2534485,0.0000000,0.0000000,-0.4853450,-0.4603830,5.0000000,-0.8871457,1.0009527,2.4655364,-0.0336203,1.8267118
61,-13,-4.451403531150471,20.096125207536478,-13.2534418,-0.0000826,0.0000000,-0.6055132,-0.4206895,4.0000000,-1.0702567,1.0011916,2.7640274,0.2288776,1.9304609
62,-13,-4.443946891150471,20.096125207536478,-13.2533817,-0.0002479,0.0000000,-0.7330140,-0.3728160,4.0000000,-1.1722811,1.0015295,3.1364458,0.4266492,2.0377588
63,-13,-4.436490251150471,20.096125207536478,-13.2532721,-0.0004132,0.0000000,-0.8656312,-0.3201983,4.0000000,-1.2236581,1.0019668,3.5611107,0.5832616,2.1625106
64,-13,-4.429033611150471,20.096125207536478,-13.2531137,-0.0006612,0.0000000,-0.9975893,-0.2618913,4.0000000,-1.2400939,1.0025035,4.0217261,0.7163115,2.2971480
65,-13,-4.421576971150471,20.096125207536478,-13.2529106,-0.0009917,0.0000000,-1.1354402,-0.2001162,4.0000000,-1.2402421,1.0031360,4.5052280,0.8400096,2.4666071
66,-13,-4.414120331150471,20.096125207536478,-13.2526674,-0.0013223,0.0000000,-1.2727867,-0.1383133,4.0000000,-1.2318401,1.0038689,5.0058055,0.9552135,2.6672516
67,-13,-4.518513291150471,20.088668567536480,-13.2514429,-0.0023967,0.0000000,0.1486545,-0.5273222,4.0000000,-0.1849380,1.0016935,3.3269308,-0.8697063,0.8180346
68,-13,-4.511056651150471,20.088668567536480,-13.2518358,-0.0014876,0.0000000,0.1278695,-0.5518107,4.0000000,-0.1345107,1.0014249,3.0476120,-0.9691107,0.9650859
69,-13,-4.503600011150471,20.088668567536480,-13.2521820,-0.0005785,0.0000000,0.0916430,-0.5667183,4.0000000,-0.0901857,1.0011792,2.7662308,-1.0432509,1.1040132
